node,Trillithia,Sillik
Potion Prowess,30,30
Path of Light,8,30
Path of Void,30,30
Brilliant Potioneer,-1,0
Prolific Potioneer - Light,-1,0
Cunning Potioneer,0,0
Prolific Potioneer - Void,1,0
Fluent in Flasks,30,0
Sin'dorei Specialist,30,-1
Haranir Secrets,30,-1
Ingenious Libations,0,-1
Flask Abundance,0,-1
Clever Creations,0,-1
Phial Abundance,0,-1
Alchemical Mastery,30,30
Reduce,0,0
Reuse,0,20
Recycle,20,0
Transmutation Authority,0,0
Inspired Transmutation,-1,-1
Synthesis Synergy,-1,-1
Metamorphic Mastery,-1,-1
