profession,character,level,skill,multicraft,ingenuity,resourcefulness
alchemy,Trillithia,100,40,140,82,0
alchemy,Sillik,100,40,54,82,0
blacksmithing,Zarastannil,100,40,30,130,34
blacksmithing,Nystelil,100,40,27,41,120
cooking,Trillithia,105,29,0,0,61
enchanting,Linidel,105,40,0,48,135
enchanting,Mellasona,105,40,0,48,135
engineering,Trillithia,100,40,25,38,34
inscription,Mellasona,100,40,30,44,30
inscription,Lindinil,100,40,30,44,122
jewelcrafting,Nystelil,100,40,30,44,113
jewelcrafting,Zarastannil,100,40,119,41,30
leatherworking,Braevele,100,40,137,41,44
leatherworking,Lindinil,100,40,128,41,44
tailoring,Linidel,100,40,113,0,44
tailoring,Braevele,100,40,27,86,44
