node,scaling,0,5,10,15,20,25,30,35,40
Craftsmithing,0,0,0,0,0,0,0,0,,
Trade Tools,0,0,0,0,0,0,0,,,
Trade Accessories,0,0,0,0,0,0,0,,,
Tool Stones,0,0,0,0,0,0,0,,,
The Old Ways,1,0,3,0,3,0,3,0,3,10
Second Nature,0,0,0,0,0,0,,,,
Resourceful Smith,0,0,0,0,0,0,,,,
Prolific Worker,1,10,10,10,10,10,,,,
Alloys,0,0,0,0,0,0,,,,
Armorsmithing,0,0,0,0,0,0,0,0,,
Large Plate Armor,0,0,0,0,0,0,0,0,,
Sculpted Armor,0,0,0,0,0,0,0,0,,
Articulating Armor,0,0,0,0,0,0,0,0,,
Chestplates,0,0,0,0,0,0,0,,,
Greaves,0,0,0,0,0,0,0,,,
Shields,0,0,0,0,0,0,0,,,
Helms,0,0,0,0,0,0,0,,,
Pauldrons,0,0,0,0,0,0,0,,,
Sabatons,0,0,0,0,0,0,0,,,
Belts,0,0,0,0,0,0,0,,,
Vambraces,0,0,0,0,0,0,0,,,
Gauntlets,0,0,0,0,0,0,0,,,
Weaponsmithing,0,0,0,0,0,0,0,0,,
Blades,0,0,0,0,0,0,0,,,
Hafted Weapons,0,0,0,0,0,0,0,,,
Weaponstones,0,0,0,0,0,0,0,,,
Short Blades,0,0,0,0,0,0,0,,,
Long Blades,0,0,0,0,0,0,0,,,
Maces,0,0,0,0,0,0,0,,,
Axes and Polearms,0,0,0,0,0,0,0,,,
