node,scaling,0,5,10,15,20,25,30,35,40
Craftsmithing,1,0,5,0,10,0,10,0,,
Trade Tools,2,0,10,10,15,15,0,,,
Trade Accessories,2,0,10,10,15,15,0,,,
Tool Stones,2,0,5,10,15,15,0,,,
The Old Ways,0,0,0,0,0,0,0,0,0,0
Second Nature,0,0,0,0,0,0,,,,
Resourceful Smith,0,0,0,0,0,0,,,,
Prolific Worker,0,0,0,0,0,0,,,,
Alloys,4,0,10,10,10,10,,,,
Armorsmithing,1,0,5,10,0,15,15,0,,
Large Plate Armor,1,0,5,0,5,0,10,0,,
Sculpted Armor,1,0,5,0,5,0,10,0,,
Articulating Armor,1,0,5,0,5,0,10,0,,
Chestplates,1,0,5,5,10,15,0,,,
Greaves,1,0,5,5,10,15,0,,,
Shields,1,0,5,5,10,15,0,,,
Helms,1,0,5,5,10,15,0,,,
Pauldrons,1,0,5,5,10,15,0,,,
Sabatons,1,0,5,5,10,15,0,,,
Belts,1,0,5,5,10,15,0,,,
Vambraces,1,0,5,5,10,15,0,,,
Gauntlets,1,0,5,5,10,15,0,,,
Weaponsmithing,1,0,5,5,0,5,5,0,,
Blades,1,0,10,0,0,10,0,,,
Hafted Weapons,1,0,10,0,0,10,0,,,
Weaponstones,3,0,10,10,0,15,15,,,
Short Blades,1,0,5,5,10,15,0,,,
Long Blades,1,0,5,5,10,15,0,,,
Maces,1,0,5,5,10,15,0,,,
Axes and Polearms,1,0,5,5,10,15,0,,,
