node,Zarastannil,Nystelil
Craftsmithing,25,0
Trade Tools,0,-1
Trade Accessories,0,-1
Tool Stones,-1,-1
The Old Ways,0,0
Second Nature,-1,-1
Resourceful Smith,0,0
Prolific Worker,-1,-1
Alloys,-1,-1
Armorsmithing,0,30
Large Plate Armor,0,30
Sculpted Armor,-1,30
Articulating Armor,-1,30
Chestplates,0,20
Greaves,-1,0
Shields,-1,20
Helms,-1,0
Pauldrons,-1,0
Sabatons,-1,20
Belts,-1,20
Vambraces,-1,20
Gauntlets,-1,0
Weaponsmithing,30,0
Blades,25,-1
Hafted Weapons,25,-1
Weaponstones,25,0
Short Blades,25,-1
Long Blades,25,-1
Maces,25,-1
Axes and Polearms,25,-1
