node,scaling,0,5,10,15,20,25,30
Elevating Equipment,0,0,0,0,0,0,0,15
Thalassian Talents,0,0,0,0,15,0,,
Amani Augments,0,0,0,0,15,0,,
Haranir Heightening,0,0,0,0,15,0,,
Silvermoon's Spellpower,0,0,0,0,0,0,,
Eversong Empowerments,0,0,0,0,0,0,,
Quel'Thalas Quality,0,0,0,0,0,0,,
Zul'Aman Zeal,0,0,0,0,0,0,,
Berserker Brawn,0,0,0,0,0,0,,
Trollish Tools,0,0,0,0,0,0,,
Azerothian Arms,0,0,0,0,0,0,,
Worldsoul Wards,0,0,0,0,0,0,,
Nature's Novelties,0,0,0,0,0,0,,
"Transitories, Tonics, and Tools",0,0,0,0,0,0,0,15
Mastering Mirages,0,0,5,0,10,0,,
Outstanding Outfits,0,0,0,0,15,0,,
Excellent Expendables,0,0,0,0,0,0,0,0
Reputable Rods,0,0,0,0,0,0,,
Worthy Wands,0,0,0,0,0,0,,
Disenchanting Delegate,0,0,0,0,0,0,0,0
Dust Deliverer,0,0,0,0,0,0,0,0
Shard Supplier,0,0,0,0,0,0,0,0
Crystal Collector,0,0,0,0,0,0,0,0
Spellbound Shatterer,0,0,0,0,0,0,0,0
Responsible Resources,1,0,5,0,10,0,20,0
Infinite Ingenuity,0,0,0,0,0,0,0,0
Multicrafting Meticulously,0,0,0,0,0,0,0,0
