node,scaling,0,5,10,15,20,25,30
Elevating Equipment,1,5,0,5,0,10,0,0
Thalassian Talents,1,5,0,5,0,10,,
Amani Augments,1,5,0,5,0,10,,
Haranir Heightening,1,5,0,5,0,10,,
Silvermoon's Spellpower,1,0,5,5,10,20,,
Eversong Empowerments,1,0,5,5,10,20,,
Quel'Thalas Quality,1,0,5,5,10,20,,
Zul'Aman Zeal,1,0,5,5,10,20,,
Berserker Brawn,1,0,5,5,10,20,,
Trollish Tools,1,0,5,5,10,20,,
Azerothian Arms,1,0,5,5,10,20,,
Worldsoul Wards,1,0,5,5,10,20,,
Nature's Novelties,1,0,5,5,10,20,,
"Transitories, Tonics, and Tools",1,5,0,5,0,10,0,0
Mastering Mirages,1,5,0,5,0,20,,
Outstanding Outfits,1,5,0,5,0,10,,
Excellent Expendables,1,5,0,5,0,10,15,20
Reputable Rods,1,0,5,5,10,20,,
Worthy Wands,1,0,5,5,10,20,,
Disenchanting Delegate,1,5,0,5,0,10,0,20
Dust Deliverer,1,5,5,5,5,0,10,20
Shard Supplier,1,5,5,5,5,0,10,20
Crystal Collector,1,5,5,5,5,0,10,20
Spellbound Shatterer,0,0,0,0,0,0,0,0
Responsible Resources,0,0,0,0,0,0,0,0
Infinite Ingenuity,0,0,0,0,0,0,0,0
Multicrafting Meticulously,0,0,0,0,0,0,0,0
