node,Linidel,Mellasona
Elevating Equipment,30,30
Thalassian Talents,20,20
Amani Augments,20,20
Haranir Heightening,15,20
Silvermoon's Spellpower,0,20
Eversong Empowerments,0,20
Quel'Thalas Quality,20,0
Zul'Aman Zeal,0,20
Berserker Brawn,0,20
Trollish Tools,0,0
Azerothian Arms,0,20
Worldsoul Wards,-1,20
Nature's Novelties,0,0
"Transitories, Tonics, and Tools",30,0
Mastering Mirages,20,-1
Outstanding Outfits,20,-1
Excellent Expendables,30,-1
Reputable Rods,20,-1
Worthy Wands,20,-1
Disenchanting Delegate,0,3
Dust Deliverer,-1,-1
Shard Supplier,-1,-1
Crystal Collector,-1,-1
Spellbound Shatterer,0,0
Responsible Resources,-1,-1
Infinite Ingenuity,-1,-1
Multicrafting Meticulously,-1,-1
