node,scaling,0,5,10,15,20,25,30,35
Market Mobility,0,0,0,0,0,0,0,,
Finishing Touches,0,0,0,0,,,,,
Mandatory Tools,0,0,0,0,,,,,
Engineering Accessories,0,0,0,0,0,0,0,0,
Mining Accessories,0,0,0,0,0,0,0,0,
Fishing Rods,0,0,0,0,0,0,0,0,
Jewelcrafting Tools,0,0,0,0,0,0,0,0,
Tailoring Tools,0,0,0,0,0,0,0,0,
Engineering Tools,0,0,0,0,0,0,0,0,
Combat Analytics,0,0,0,0,0,0,0,,
Goggles,0,0,0,0,0,0,0,0,0
Bracers,0,0,0,0,0,0,0,0,0
Boots,0,0,0,0,0,0,0,0,0
Guns,0,0,0,0,0,0,0,0,0
Recycling,0,0,0,0,0,0,0,0,
Concentrated Effort,0,0,0,0,0,0,,,
Multicraft,0,0,0,0,0,0,,,
Resourcefulness,3,0,0,45,0,0,,,
Bits and Bots,0,0,0,10,0,15,0,0,
Bits,0,5,5,0,0,0,0,0,
Bots,0,0,0,0,0,0,0,0,
