node,scaling,0,5,10,15,20,25,30,35
Market Mobility,1,5,5,5,10,10,10,,
Finishing Touches,1,10,10,25,,,,,
Mandatory Tools,1,10,10,25,,,,,
Engineering Accessories,1,0,5,5,5,10,10,15,
Mining Accessories,1,0,5,5,5,10,10,15,
Fishing Rods,1,0,5,5,5,10,10,15,
Jewelcrafting Tools,1,0,5,5,5,10,10,15,
Tailoring Tools,1,0,5,5,5,10,10,15,
Engineering Tools,1,0,5,5,5,10,10,15,
Combat Analytics,1,0,0,0,0,0,0,,
Goggles,1,0,0,0,0,5,5,5,40
Bracers,1,0,0,0,0,5,5,5,40
Boots,1,0,0,0,0,5,5,5,40
Guns,1,0,5,5,5,5,5,10,20
Recycling,1,10,10,10,10,10,15,0,
Concentrated Effort,0,0,0,0,0,0,,,
Multicraft,0,0,0,0,0,0,,,
Resourcefulness,0,0,0,0,0,0,,,
Bits and Bots,1,5,10,5,0,5,10,5,
Bits,1,5,5,5,5,5,5,0,
Bots,1,0,5,5,5,5,5,0,
