node,scaling,0,5,10,15,20,25,30
Blueprints,0,0,0,0,0,15,30,0
Field Research,0,0,0,0,0,0,0,0
Market Research,0,0,0,0,0,0,0,0
Staves,0,0,0,0,0,0,0,0
Bows,0,0,0,0,0,0,0,0
Lamps and Lanterns,0,0,0,0,0,0,0,0
Scribe's Quill,0,0,0,0,0,0,0,0
Alchemist's Mixing Rod,0,0,0,0,0,0,0,0
Chef's Rolling Pin,0,0,0,0,0,0,0,0
Calm Hands,1,0,15,15,,,,
Added Flair,0,0,0,0,0,0,,
Keen Eye,0,0,0,0,0,0,,
Dextrous Diligence,3,0,0,10,0,0,,
Perfected Products,0,0,0,0,0,0,0,0
Parchment,0,0,0,0,0,0,0,0
Processing,0,0,0,0,0,0,0,0
Perfect Missives,0,0,0,0,0,0,0,0
Perfect Contracts,0,0,0,0,0,0,0,0
Perfect Vantus Runes,0,0,0,0,0,0,0,0
Perfect Inks,0,0,0,0,0,0,0,0
Perfect Milling,0,0,0,0,0,0,0,0
Perfect Ciphers,0,0,0,0,0,0,0,0
Darkmoon Curiosity,0,0,0,0,0,0,,
Void,0,0,0,0,0,0,,
Hunt,0,0,0,0,0,0,,
Blood,0,0,0,0,0,0,,
Rot,0,0,0,0,0,0,,
Darkmoon Sigil: Void,0,0,0,0,0,0,,
Darkmoon Dominion: Void,0,0,0,0,0,0,,
Darkmoon Sigil: Hunt,0,0,0,0,0,0,,
Darkmoon Dominion: Hunt,0,0,0,0,0,0,,
Darkmoon Sigil: Blood,0,0,0,0,0,0,,
Darkmoon Dominion: Blood,0,0,0,0,0,0,,
Darkmoon Sigil: Rot,0,0,0,0,0,0,,
Darkmoon Dominion: Rot,0,0,0,0,0,0,,
