node,Mellasona,Lindinil
Blueprints,30,0
Field Research,30,0
Market Research,30,-1
Staves,30,0
Bows,30,-1
Lamps and Lanterns,19,-1
Scribe's Quill,30,-1
Alchemist's Mixing Rod,30,-1
Chef's Rolling Pin,30,-1
Calm Hands,10,10
Added Flair,0,0
Keen Eye,0,0
Dextrous Diligence,0,0
Perfected Products,0,0
Parchment,0,0
Processing,-1,-1
Perfect Missives,0,0
Perfect Contracts,-1,-1
Perfect Vantus Runes,-1,-1
Perfect Inks,-1,-1
Perfect Milling,-1,-1
Perfect Ciphers,-1,-1
Darkmoon Curiosity,0,20
Void,0,20
Hunt,-1,20
Blood,-1,20
Rot,-1,20
Darkmoon Sigil: Void,0,20
Darkmoon Dominion: Void,-1,20
Darkmoon Sigil: Hunt,-1,20
Darkmoon Dominion: Hunt,-1,20
Darkmoon Sigil: Blood,-1,20
Darkmoon Dominion: Blood,-1,20
Darkmoon Sigil: Rot,-1,15
Darkmoon Dominion: Rot,-1,15
