node,scaling,0,5,10,15,20,25,30,35,40
Thoughtful Throughput,2,0,0,0,0,0,0,15,,
Skilled Savings,0,0,0,0,0,0,0,0,,
Outrageous Output,0,0,0,0,0,0,0,0,,
Calculated Concentration,0,0,10,0,10,0,10,0,,
Glamorous Gems,0,0,10,0,0,0,10,0,,
Powerful Peridot,0,0,0,0,0,0,10,,,
Lustrous Lapis,0,0,0,0,0,0,10,,,
Austere Amethyst,0,0,0,0,0,0,10,,,
Glorious Garnet,0,0,0,0,0,0,10,,,
Deadly Peridot,0,0,0,0,0,,,,,
Masterful Peridot,0,0,0,0,0,,,,,
Versatile Peridot,0,0,0,0,0,,,,,
Deadly Lapis,0,0,0,0,0,,,,,
Quick Lapis,0,0,0,0,0,,,,,
Masterful Lapis,0,0,0,0,0,,,,,
Deadly Amethyst,0,0,0,0,0,,,,,
Quick Amethyst,0,0,0,0,0,,,,,
Versatile Amethyst,0,0,0,0,0,,,,,
Quick Garnet,0,0,0,0,0,,,,,
Masterful Garnet,0,0,0,0,0,,,,,
Versatile Garnet,0,0,0,0,0,,,,,
Alluring Accessories,0,0,0,0,0,0,10,0,,
Regal Rings,0,0,0,0,10,0,0,0,10,0
Luxurious Lockets,0,0,0,0,10,0,0,0,10,0
Crafting Couture,0,0,0,0,10,0,0,0,10,0
Proficient Processer,0,0,0,0,0,0,10,0,,
Prospecting Pro,0,0,0,0,0,0,0,0,,
Crushing Connoisseur,0,0,0,0,5,0,0,0,5,0
Material Manufacturer,0,0,0,0,10,0,0,0,,
Copper Consumer,0,,,,,,,,,
Tin-vestigator,0,,,,,,,,,
Silver Scrapper,0,,,,,,,,,
Thorium Thresher,0,,,,,,,,,
Optionally Optimal,0,0,0,0,0,0,0,0,,
Boldly Basic,0,0,0,0,0,0,0,0,,
