node,scaling,0,5,10,15,20,25,30,35,40
Thoughtful Throughput,0,0,0,0,0,0,0,0,,
Skilled Savings,0,0,0,0,0,0,0,0,,
Outrageous Output,0,0,0,0,0,0,0,0,,
Calculated Concentration,0,0,0,0,0,0,0,0,,
Glamorous Gems,1,0,0,0,0,0,0,0,,
Powerful Peridot,1,0,0,0,0,0,0,,,
Lustrous Lapis,1,0,0,0,0,0,0,,,
Austere Amethyst,1,0,0,0,0,0,0,,,
Glorious Garnet,1,0,0,0,0,0,0,,,
Deadly Peridot,1,0,5,10,15,,,,,
Masterful Peridot,1,0,5,10,15,,,,,
Versatile Peridot,1,0,5,10,15,,,,,
Deadly Lapis,1,0,5,10,15,,,,,
Quick Lapis,1,0,5,10,15,,,,,
Masterful Lapis,1,0,5,10,15,,,,,
Deadly Amethyst,1,0,5,10,15,,,,,
Quick Amethyst,1,0,5,10,15,,,,,
Versatile Amethyst,1,0,5,10,15,,,,,
Quick Garnet,1,0,5,10,15,,,,,
Masterful Garnet,1,0,5,10,15,,,,,
Versatile Garnet,1,0,5,10,15,,,,,
Alluring Accessories,1,5,0,0,0,0,0,0,,
Regal Rings,1,0,0,5,0,10,0,15,0,20
Luxurious Lockets,1,0,0,5,0,10,0,15,0,20
Crafting Couture,1,5,0,5,0,10,0,15,0,20
Proficient Processer,1,5,0,0,0,0,0,0,,
Prospecting Pro,1,0,5,0,5,0,5,0,,
Crushing Connoisseur,1,5,0,5,0,10,0,10,0,20
Material Manufacturer,1,5,0,5,0,10,0,10,,
Copper Consumer,0,,,,,,,,,
Tin-vestigator,0,,,,,,,,,
Silver Scrapper,0,,,,,,,,,
Thorium Thresher,0,,,,,,,,,
Optionally Optimal,1,5,5,5,10,10,15,20,,
Boldly Basic,1,5,5,5,10,10,15,20,,
