node,Nystelil,Zarastannil
Thoughtful Throughput,0,0
Skilled Savings,-1,-1
Outrageous Output,-1,-1
Calculated Concentration,-1,-1
Glamorous Gems,0,30
Powerful Peridot,-1,25
Lustrous Lapis,-1,25
Austere Amethyst,0,25
Glorious Garnet,-1,25
Deadly Peridot,-1,0
Masterful Peridot,-1,15
Versatile Peridot,-1,15
Deadly Lapis,-1,15
Quick Lapis,-1,0
Masterful Lapis,-1,0
Deadly Amethyst,0,15
Quick Amethyst,-1,15
Versatile Amethyst,-1,0
Quick Garnet,-1,10
Masterful Garnet,-1,15
Versatile Garnet,-1,0
Alluring Accessories,30,0
Regal Rings,40,-1
Luxurious Lockets,40,-1
Crafting Couture,40,-1
Proficient Processor,30,0
Prospecting Pro,0,-1
Crushing Connoisseur,0,-1
Material Manufacturer,30,-1
Copper Consumer,0,-1
Tin-vestigator,0,-1
Silver Scrapper,0,-1
Thorium Thresher,0,-1
Optionally Optimal,19,-1
Boldly Basic,30,-1
