node,scaling,0,5,10,15,20,25,30
Learned Leatherworker,0,0,0,0,0,0,0,0
Waning Waste,1,0,10,0,15,0,30,0
Concentrated Crafter,0,0,0,0,0,0,0,0
Mastering Multicraft,0,0,0,0,0,0,0,0
Lasting Leather,0,0,0,0,5,0,0,10
Securely Shaped,0,10,0,0,0,10,0,0
Embroidered Ensembles,0,10,0,0,0,10,0,0
Terrific Tunics,0,0,0,0,0,0,,
Capable Caps,0,0,0,0,0,0,,
Mighty Mantles,0,0,0,0,0,0,,
Wonderful Wristguards,0,0,0,0,0,0,,
Toughened Tassets,0,0,0,0,0,0,,
Grand Gloves,0,0,0,0,0,0,,
Sturdy Sashes,0,0,0,0,0,0,,
Tasteful Treads,0,0,0,0,0,0,,
Safeguarding Scales,0,0,0,0,0,0,0,0
Bolstered Bulwarks,0,10,0,0,0,10,0,0
Advanced Armor,0,10,0,0,0,10,0,0
Valuable Vests,0,0,0,0,0,0,,
Versatile Visages,0,0,0,0,0,0,,
Powerful Plumes,0,0,0,0,0,0,,
Balanced Bracers,0,0,0,0,0,0,,
Fantastic Faulds,0,0,0,0,0,0,,
Cutting Claws,0,0,0,0,0,0,,
Bettering Bands,0,0,0,0,0,0,,
Talented Talons,0,0,0,0,0,0,,
Flawless Fortes,0,0,5,0,0,0,5,0
Artisanal Accessories,0,0,5,0,0,0,5,0
Commanding Commodities,0,0,5,0,0,0,5,0
Overwhelming Optionals,0,0,0,0,0,0,,
Brimming Basics,0,0,0,0,0,0,,
Crucial Consumables,0,0,0,0,0,0,,
