node,scaling,0,5,10,15,20,25,30
Learned Leatherworker,0,0,0,0,0,0,0,0
Waning Waste,0,0,0,0,0,0,0,0
Concentrated Crafter,0,0,0,0,0,0,0,0
Mastering Multicraft,0,0,0,0,0,0,0,0
Lasting Leather,1,0,0,0,0,0,0,0
Securely Shaped,1,0,0,0,0,0,0,0
Embroidered Ensembles,1,0,0,0,0,0,0,0
Terrific Tunics,1,0,5,5,10,20,,
Capable Caps,1,0,5,5,10,20,,
Mighty Mantles,1,0,5,5,10,20,,
Wonderful Wristguards,1,0,5,5,10,20,,
Toughened Tassets,1,0,5,5,10,20,,
Grand Gloves,1,0,5,5,10,20,,
Sturdy Sashes,1,0,5,5,10,20,,
Tasteful Treads,1,0,5,5,10,20,,
Safeguarding Scales,1,0,0,0,0,0,0,0
Bolstered Bulwarks,1,0,0,0,0,0,0,0
Advanced Armor,1,0,0,0,0,0,0,0
Valuable Vests,1,0,5,5,10,20,,
Versatile Visages,1,0,5,5,10,20,,
Powerful Plumes,1,0,5,5,10,20,,
Balanced Bracers,1,0,5,5,10,20,,
Fantastic Faulds,1,0,5,5,10,20,,
Cutting Claws,1,0,5,5,10,20,,
Bettering Bands,1,0,5,5,10,20,,
Talented Talons,1,0,5,5,10,20,,
Flawless Fortes,1,0,0,0,0,0,0,0
Artisanal Accessories,1,0,0,10,0,10,0,20
Commanding Commodities,1,0,0,10,0,10,0,20
Overwhelming Optionals,1,0,5,5,10,20,,
Brimming Basics,1,5,5,5,10,20,,
Crucial Consumables,1,0,5,5,10,20,,
