itemID,itemName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot
244586,Smuggler's Leather Wristbands,gear (combat),250,-1,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE
244589,Scout's Scaled Bracers,gear (combat),250,-1,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE
244603,Blessed Pango Charm,embellishment,500,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE
244674,Devouring Banding,embellishment,500,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE
244607,Primal Spore Binding,embellishment,500,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE
244633,Infused Scalewoven Hide,crafting reagent,505,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE
244631,Scalewoven Hide,crafting reagent,505,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE
244637,Silvermoon Weapon Wrap,crafting reagent,505,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE
244635,Sin'dorei Armor Banding,crafting reagent,505,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE
244639,Void-touched Drums,consumable,-1,0,1,-1,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE
244642,Blood Knight's Armor Kit,item enhancement,500,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE
244640,Forest Hunter's Amor Kit,item enhancement,500,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE
244644,Thalassian Scout Armor Kit,item enhancement,300,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE
244606,Hexwoven Strand,gear (combat),400,-1,1,0,epic,TRUE,FALSE,FALSE,FALSE,TRUE
244612,Row Walker's Deflectors,gear (combat),400,-1,1,0,epic,TRUE,FALSE,FALSE,FALSE,TRUE
244613,Row Walker's Insurance,gear (combat),400,-1,1,0,epic,TRUE,FALSE,FALSE,FALSE,TRUE
244614,Row Walker's Swiftgrips,gear (combat),400,-1,1,0,epic,TRUE,FALSE,FALSE,FALSE,TRUE
244570,Silvermoon Agent's Coat,gear (combat),380,-1,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE
244571,Silvermoon Agent's Cover,gear (combat),380,-1,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE
244576,Silvermoon Agent's Deflectors,gear (combat),380,-1,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE
244575,Silvermoon Agent's Handwraps,gear (combat),380,-1,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE
244574,Silvermoon Agent's Leggings,gear (combat),380,-1,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE
244572,Silvermoon Agent's Mantle,gear (combat),380,-1,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE
244569,Silvermoon Agent's Sneakers,gear (combat),380,-1,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE
244573,Silvermoon Agent's Utility Belt,gear (combat),380,-1,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE
244601,World Tree Rootwraps,gear (combat),400,-1,1,0,epic,TRUE,FALSE,FALSE,FALSE,TRUE
244591,Smuggler's Reinforced Hood,gear (combat),250,-1,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE
244594,Smuggler's Reinforced Pants,gear (combat),250,-1,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE
244592,Smuggler's Reinforced Shoulderguards,gear (combat),250,-1,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE
