node,Braevele,Lindinil
Learned Leatherworker,0,0
Waning Waste,-1,-1
Concentrated Crafter,-1,-1
Mastering Multicraft,-1,-1
Lasting Leather,30,-1
Securely Shaped,30,-1
Embroidered Ensembles,30,-1
Terrific Tunics,20,-1
Capable Caps,12,-1
Mighty Mantles,15,-1
Wonderful Wristguards,20,-1
Toughened Tassets,20,-1
Grand Gloves,20,-1
Sturdy Sashes,20,-1
Tasteful Treads,20,-1
Safeguarding Scales,0,30
Bolstered Bulwarks,-1,30
Advanced Armor,-1,30
Valuable Vests,-1,20
Versatile Visages,-1,11
Powerful Plumes,-1,14
Balanced Bracers,-1,20
Fantastic Faulds,-1,20
Cutting Claws,-1,20
Bettering Bands,-1,20
Talented Talons,-1,20
Flawless Fortes,0,0
Artisanal Accessories,-1,-1
Commanding Commodities,-1,-1
Overwhelming Optionals,-1,-1
Brimming Basics,-1,-1
Crucial Consumables,-1,-1
