node,scaling,0,5,10,15,20,25,30
Sin'dorei Finery,0,0,0,0,0,0,0,0
Head-to-Toes,0,0,0,0,0,0,0,0
Elegant Accessories,0,0,0,0,0,0,0,0
Outfit Essentials,0,0,0,0,0,0,0,0
Boots,0,0,0,0,0,0,,
Gloves,0,0,0,0,0,0,,
Hats,0,0,0,0,0,0,,
Belts,0,0,0,0,0,0,,
Bracers,0,0,0,0,0,0,,
Shoulders,0,0,0,0,0,0,,
Robes,0,0,0,0,0,0,,
Trousers,0,0,0,0,0,0,,
Cloaks,0,0,0,0,0,0,,
Nimble Needlework,0,0,0,5,0,0,0,0
Sunfire Silk Weaving,0,0,0,0,0,0,0,0
Arcanoweaving,0,0,0,0,0,0,0,0
Sunfire Expertise,0,0,0,0,30,0,,
Arcanoweave Expertise,0,0,0,0,30,0,,
Fabric Specialist,0,0,0,0,0,0,0,0
Eastern Kingdoms Cloth,0,0,5,0,0,0,0,
Otherworldly Cloth,0,0,5,0,0,0,0,
Fiber Arts,0,0,0,0,0,0,0,0
Creative Efficiency,1,0,10,0,10,0,10,0
Fashion Genius,0,0,0,0,0,0,0,0
Embroidery,0,0,5,0,5,0,5,0
Textile Utilization,0,0,0,0,0,0,0,0
