node,scaling,0,5,10,15,20,25,30
Sin'dorei Finery,1,0,0,0,0,5,0,0
Head-to-Toes,1,0,0,0,0,0,5,0
Elegant Accessories,1,0,0,0,0,0,5,0
Outfit Essentials,1,0,0,0,0,0,5,0
Boots,1,0,5,5,5,5,,
Gloves,1,0,5,5,5,5,,
Hats,1,0,5,5,5,5,,
Belts,1,0,5,5,5,5,,
Bracers,1,0,5,5,5,5,,
Shoulders,1,0,5,5,5,5,,
Robes,1,0,5,5,5,5,,
Trousers,1,0,5,5,5,5,,
Cloaks,1,0,5,5,5,5,,
Nimble Needlework,1,0,0,0,0,0,5,5
Sunfire Silk Weaving,1,0,0,0,0,5,0,0
Arcanoweaving,1,0,0,0,0,5,0,0
Sunfire Expertise,1,0,5,0,0,0,,
Arcanoweave Expertise,1,0,5,0,0,0,,
Fabric Specialist,0,5,0,0,0,5,0,0
Eastern Kingdoms Cloth,0,0,0,0,0,5,0,
Otherworldly Cloth,0,0,0,0,0,5,0,
Fiber Arts,1,0,0,0,5,0,0,0
Creative Efficiency,0,0,0,5,0,0,0,5
Fashion Genius,0,0,0,0,0,0,0,0
Embroidery,1,10,0,0,0,0,0,10
Textile Utilization,0,0,0,5,0,0,0,5
