node,Linidel,Braevele
Sin'dorei Finery,30,30
Head-to-Toes,30,0
Elegant Accessories,30,15
Outfit Essentials,30,0
Boots,0,-1
Gloves,0,-1
Hats,0,-1
Belts,0,0
Bracers,20,-1
Shoulders,0,-1
Robes,0,-1
Trousers,0,-1
Cloaks,0,-1
Nimble Needlework,5,30
Sunfire Silk Weaving,-1,30
Arcanoweaving,0,30
Sunfire Expertise,-1,20
Arcanoweave Expertise,-1,20
Fabric Specialist,0,0
Eastern Kingdoms Cloth,-1,-1
Otherworldly Cloth,-1,-1
Fiber Arts,30,30
Creative Efficiency,0,0
Fashion Genius,0,0
Embroidery,0,0
Textile Utilization,0,0
