itemName,itemID,crafterName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot,,,,,,,,,,
Enchanted Gilded Harbinger Crest,224073,Linidel,crafting reagent,np.nan,np.nan,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,220789,1,219946,100,219949,15,219952,2,,
Enchanted Runed Harbinger Crest,224072,Linidel,crafting reagent,np.nan,np.nan,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,220790,1,219946,60,219949,10,219952,1,,
Enchanted Weathered Harbinger Crest,224069,Linidel,crafting reagent,np.nan,np.nan,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,220788,1,219946,30,219949,5,,,,
Concentration Concentrate,224173,None,finishing reagent,480,0,1,1,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213610,1,219946,3,219949,1,,,,
Mirror Powder,224178,Linidel,finishing reagent,480,0,1,131,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,219946,3,219949,1,,,,
Oil of Beledar's Grace,224108,None,consumable,480,0,5,1,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,213610,2,219946,10,219949,1,,
Oil of Deep Toxins,224111,None,consumable,480,0,5,1,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,221756,1,221763,1,219946,10,219949,1,,
Algari Mana Oil,224105,Linidel,consumable,480,0,5,131,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213613,10,219946,5,,,,,,
Runed Null Stone Rod,224116,None,gear (profession),475,np.nan,1,1,epic,TRUE,FALSE,TRUE,FALSE,FALSE,221754,2,210939,1,210814,400,219946,100,219949,10
Runed Ironclaw Rod,224115,None,gear (profession),475,np.nan,1,1,rare,TRUE,FALSE,TRUE,FALSE,FALSE,210814,350,221754,1,219946,75,219949,5,,
Scepter of Radiant Magics,224405,None,gear (combat),430,np.nan,1,1,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221758,2,219949,6,219952,2,222555,1
Enchanted Spearwood Wand,224404,Linidel,gear (combat),300,np.nan,1,131,rare,TRUE,TRUE,TRUE,FALSE,TRUE,219946,5,222555,1,,,,,,
Runed Bsimuth Rod,224114,Linidel,gear (profession),200,np.nan,1,131,uncommon,TRUE,FALSE,TRUE,FALSE,FALSE,227208,1,219946,10,,,,,,
Enchant Boots - Cavalry's March,223650,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219946,30,219949,5,,,,
Enchant Boots - Defender's March,223656,Linidel,item enhancement,480,np.nan,1,271,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219946,30,219949,5,,,,
Enchant Boots - Scout's March,223653,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219946,30,219949,5,,,,
Enchant Bracer - Chant of Amored Avoidance,223713,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221756,1,219946,40,219949,5,,,,
Enchant Bracer - Chant of Armored Leech,223719,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221756,1,219946,40,219949,5,,,,
Enchant Bracer - Chant of Armored Speed,223725,Linidel,item enhancement,480,np.nan,1,271,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221756,1,219946,40,219949,5,,,,
Enchant Bracer - Whisper of Armored Leech,223716,Linidel,item enhancement,250,np.nan,1,271,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,10,,,,,,,,
Enchant Bracer - Whisper of Armored Speed,223721,Linidel,item enhancement,250,np.nan,1,271,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,10,,,,,,,,
Enchant Bracer - Whisper of Armored Avoidance,223708,Linidel,item enhancement,250,np.nan,1,271,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,10,,,,,,,,
Enchant Chest - Council's Intellect,223686,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213610,10,213613,5,219946,75,219949,10,219952,1
Enchant Chest - Crystalline Radiance,223692,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213610,20,219946,75,219949,10,219952,1,,
Enchant Chest - Oathsworn's Strength,223689,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213610,10,221754,1,219946,75,219949,10,219952,1
Enchant Chest - Stormrider's Agility,223683,Linidel,item enhancement,480,np.nan,1,176,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213610,10,218338,5,219946,75,219949,10,219952,1
Enchant Cloak - Chant of Burrowing Rapdidity,223800,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221756,1,219946,40,219949,5,,,,
Enchant Cloak - Chant of Leeching Fangs,223737,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221756,1,219946,40,219949,5,,,,
Enchant Cloak - Chant of Winged Grace,223731,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221756,1,219946,40,219949,5,,,,
Enchant Cloak - Whisper of Silken Speed,223740,Linidel,item enhancement,250,np.nan,1,271,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,10,,,,,,,,
Enchant Cloak - Whisper of Silken Leech,223734,Linidel,item enhancement,250,np.nan,1,271,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,10,,,,,,,,
Enchant Cloak - Whisper of Silken Avoidance,223727,Linidel,item enhancement,250,np.nan,1,271,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,10,,,,,,,,
Enchant Tool - Algari Deftness,223695,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221754,1,219946,25,219949,5,,,,
Enchant Tool - Algari Finesse,223698,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221754,1,219946,25,219949,5,,,,
Enchant Tool - Algari Ingenuity,223701,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221754,1,219946,25,219949,5,,,,
Enchant Tool - Algari Perception,223704,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221754,1,219946,25,219949,5,,,,
Enchant Tool - Algari Resourcefulness,223707,None,item enhancement,480,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221754,1,219946,25,219949,5,,,,
