itemName,itemID,crafterName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot,,,,,,,,,,,,
Chaos Circuit,221865,Trillithia,crafting reagent,410,1.8,1,178,common,TRUE,FALSE,FALSE,FALSE,FALSE,210939,1,210933,5,210936,3,,,,,,
Entropy Enhancer,221868,Trillithia,crafting reagent,410,1.8,1,178,common,TRUE,FALSE,FALSE,FALSE,FALSE,213611,1,210933,2,210930,4,210936,2,,,,
Safety Switch,221862,Trillithia,crafting reagent,410,1.8,1,178,common,TRUE,FALSE,FALSE,FALSE,FALSE,213610,1,210930,5,210933,3,,,,,,
Bottled Brilliance,225987,Trillithia,finishing reagent,410,1.8,1,178,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213613,2,213610,1,211806,1,,,,,,
Gyrating Gear,221859,Trillithia,crafting reagent,410,1.8,1-2,178,common,TRUE,FALSE,FALSE,FALSE,FALSE,228956,1,210930,3,210933,1,,,,,,
Handful of Bismuth Bolts,221853,Trillithia,crafting reagent,410,1.8,1-2,178,common,TRUE,FALSE,FALSE,FALSE,FALSE,210930,4,,,,,,,,,,
Whimsical Wiring,221856,Trillithia,crafting reagent,410,1.8,1-2,178,common,TRUE,FALSE,FALSE,FALSE,FALSE,228414,1,210930,3,,,,,,,,
Blame Redirection Device,221926,Trillithia,crafting reagent,410,1.8,1,178,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,219150,15,221853,4,221859,3,221856,2,221868,1,,
Complicated Fuse Box,221932,Trillithia,crafting reagent,410,1.8,1,178,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,219150,15,221853,6,221859,2,221856,2,221865,1,221868,1
Recalibrated Safety Switch,221923,Trillithia,crafting reagent,410,1.8,1,178,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,219150,15,221853,8,221859,2,221856,2,221862,4,,
Concealed Chaos Module,221938,Trillithia,embellishment,410,1.8,1,178,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,15,221853,6,221859,3,221856,2,221865,2,,
