itemName,itemID,crafterName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot,,,,,,,,,,
Carapace-Backed Hide,219880,Braevele,crafting reagent,400,1.8,1,134,rare,TRUE,FALSE,FALSE,FALSE,FALSE,218337,5,224764,5,212670,1,212674,1,,
Chitin Armor Banding,219898,Braevele,crafting reagent,400,1.8,1,134,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,218336,1,212674,1,212667,30,,,,
Crystalfused Hide,219883,Braevele,crafting reagent,400,1.8,1,134,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213610,5,219880,1,,,,,,
Leyfused Hide,219892,Braevele,crafting reagent,400,1.8,1,134,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213613,5,219880,1,,,,,,
Sporecoated Hide,219889,Braevele,crafting reagent,400,1.8,1,134,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213612,5,219880,1,,,,,,
Storm-Touched Weapon Wrap,219901,Braevele,crafting reagent,400,1.8,1,134,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,218338,2,212670,1,212664,30,,,,
Writhing Hide,219886,Braevele,crafting reagent,400,1.8,1,134,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213611,5,219880,1,,,,,,
Defender's Armor Kit,219906,None,item enhancement,400,0,1,1,common,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219883,2,212667,60,,,,
Stormbound Armor Kit,219909,None,item enhancement,400,0,1,1,common,TRUE,FALSE,FALSE,FALSE,FALSE,221757,1,219883,2,212664,60,,,,
Thunderous  Drums,219905,Braevele,consumable,np.nan,1.8,1,np.nan,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213612,5,212664,75,212667,75,,,,
Dual Layered Armor Kit,219912,Braevele,item enhancement,300,1.8,1,134,common,TRUE,FALSE,FALSE,FALSE,FALSE,212670,1,212664,50,,,,,,
Rune-Branded Armbands,219334,Braevele,gear (combat),380,np.nan,1,254,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,2,219886,3,212664,150,219898,1
Rune-Branded Grasps,219333,Braevele,gear (combat),380,np.nan,1,205,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,1,219892,3,212664,150,219898,1
Rune-Branded Hood,219329,Braevele,gear (combat),380,np.nan,1,194,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,1,219886,3,212664,150,219898,1
Rune-Branded Kickers,219327,Braevele,gear (combat),380,np.nan,1,254,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,1,219889,3,212664,150,219898,1
Rune-Branded Legwraps,219332,Braevele,gear (combat),380,np.nan,1,194,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,2,219883,3,212664,150,219898,1
Rune-Branded Mantle,219330,Braevele,gear (combat),380,np.nan,1,194,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,2,219892,3,212664,150,219898,1
Rune-Branded Tunic,219328,Braevele,gear (combat),380,np.nan,1,194,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,2,219892,3,212664,150,219898,1
Rune-Branded Waistband,219331,Braevele,gear (combat),380,np.nan,1,254,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,1,219883,3,212664,150,219898,1
Spelunker's Practiced Hat,219476,Braevele,gear (combat),150,np.nan,1,194,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212664,30,212670,1,,,,,,
Spelunker's Practiced Britches,219479,Braevele,gear (combat),150,np.nan,1,194,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212664,30,212670,1,,,,,,
Spelunker's Practiced Shoulders,219477,Braevele,gear (combat),150,np.nan,1,194,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212664,30,212670,1,,,,,,
Spelunker's Practiced Mitts,219478,Braevele,gear (combat),150,np.nan,1,205,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212664,25,212667,20,,,,,,
Spelunker's Practiced Sash,219480,Braevele,gear (combat),150,np.nan,1,254,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212664,30,212667,10,,,,,,
Spelunker's Leather Jerkin,219472,Braevele,gear (combat),150,np.nan,1,194,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212664,30,212667,15,,,,,,
Spelunker's Leather Footpads,219470,Braevele,gear (combat),150,np.nan,1,254,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212664,20,212667,10,,,,,,
Spelunker's Leather Bands,219471,Braevele,gear (combat),150,np.nan,1,254,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212664,15,212667,5,,,,,,
Glyph-Etched Binding,219339,None,gear (combat),380,np.nan,1,1,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,1,219883,3,212667,150,219898,1
Glyph-Etched Breastplate,219336,None,gear (combat),380,np.nan,1,1,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,2,219892,3,212667,150,219898,1
Glyph-Etched Cuisses,219340,None,gear (combat),380,np.nan,1,1,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,2,219883,3,212667,150,219898,1
Glyph-Etched Epaulets,219338,None,gear (combat),380,np.nan,1,1,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,1,219892,3,212667,150,219898,1
Glyph-Etched Gauntlets,219341,None,gear (combat),380,np.nan,1,1,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,1,219892,3,212667,150,219898,1
Glyph-Etched Guise,219337,None,gear (combat),380,np.nan,1,1,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,2,219886,3,212667,150,219898,1
Glyph-Etched Stompers,219335,None,gear (combat),380,np.nan,1,1,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,1,219889,3,212667,150,219898,1
Glyph-Etched Vambraces,219342,None,gear (combat),380,np.nan,1,1,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,2,219886,3,212667,150,219898,1
Tracker's Toughened Headgear,219481,Braevele,gear (combat),150,np.nan,1,134,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212667,30,212674,1,,,,,,
Tracker's Toughened Links,219484,Braevele,gear (combat),150,np.nan,1,134,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212667,30,212674,1,,,,,,
Tracker's Toughened Shoulderguards,219482,Braevele,gear (combat),150,np.nan,1,134,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212667,30,212674,1,,,,,,
Tracker's Toughened Handguards,219483,Braevele,gear (combat),150,np.nan,1,134,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212667,25,212664,20,,,,,,
Tracker's Toughened Girdle,219485,Braevele,gear (combat),150,np.nan,1,134,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212667,30,212664,10,,,,,,
Tracker's Chitin Hauberk,219475,Braevele,gear (combat),150,np.nan,1,134,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212667,30,212664,15,,,,,,
Tracker's Chitin Galoshes,219473,Braevele,gear (combat),150,np.nan,1,134,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212667,20,212664,10,,,,,,
Tracker's Chitin Cuffs,219474,Braevele,gear (combat),150,np.nan,1,134,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212667,15,212664,5,,,,,,
Sanctified Torchbearer's Grips,219492,None,gear (combat),565,np.nan,1,1,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,221758,3,219883,3,212667,150,219898,1
Waders of the Unifying Flame,219489,None,gear (combat),565,np.nan,1,1,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,221758,2,219883,3,212664,150,219898,1
Blessed Weapon Grip,219495,None,embelishment,400,0,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219901,,,,,,,
Adrenal Surge Clasp,219502,None,gear (combat),565,np.nan,1,1,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,221756,2,218336,10,219886,2,219898,1
Vambraces of Deepening Darkness,219501,None,gear (combat),565,np.nan,1,1,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,221756,2,218336,10,219886,2,219898,1
Writhing Armor Banding,219504,None,embelishment,400,0,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221756,1,219898,1,,,,,,
Busy Bee's Buckle,219509,None,gear (combat),565,np.nan,1,1,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,218339,10,219013,1,219889,2,219898,1
Reinforced Setae Flyers,219508,Braevele,gear (combat),565,np.nan,1,134,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,218339,10,219013,1,219889,2,219898,1
Roiling Thunderstrike Talons,219513,None,gear (combat),565,np.nan,1,1,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,218338,10,219013,1,219889,2,219898,1
Rook Feather Wristwraps,219511,None,gear (combat),565,np.nan,1,1,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,218338,10,219013,1,219889,2,219898,1
Smoldering Pollen Hauberk,219507,None,gear (combat),565,np.nan,1,1,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,218339,10,219013,1,219889,3,219898,1
Weathered Stormfront Vest,219512,None,gear (combat),565,np.nan,1,1,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,218338,10,219013,1,219889,3,219898,1
Algari Competitor's Leather Belt,217130,None,gear (pvp),165,np.nan,1,1,uncommon,TRUE,TRUE,TRUE,FALSE,FALSE,210221,4,219880,1,212664,75,,,,
Algari Competitor's Leather Boots,217126,None,gear (pvp),165,np.nan,1,1,uncommon,TRUE,TRUE,TRUE,FALSE,FALSE,210221,5,219880,1,212664,75,,,,
Algari Competitor's Leather Chestpiece,217127,None,gear (pvp),165,np.nan,1,1,uncommon,TRUE,TRUE,TRUE,FALSE,FALSE,210221,4,219880,1,212664,90,,,,
Algari Competitor's Leather Gloves,217132,None,gear (pvp),165,np.nan,1,1,uncommon,TRUE,TRUE,TRUE,FALSE,FALSE,210221,4,219880,1,212664,75,,,,
