itemID,itemName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot
212563,Harmonious Horticulture,crafting reagent,735,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE
228404,Petal Powder,finishing reagent,470,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE
228401,Bubbling Mycobloom Culture,finishing reagent,420,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE
212245,Slumbering Soul Serum,potion,675,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
211878,Algari Healing Potion,potion,515,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
212239,Algari Mana Potion,potion,595,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
212242,Cavedweller's Delight,potion,675,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
212260,Frontline Potion,potion,675,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
212254,Grotesque Vial,potion,675,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
212266,Potion of the Reborn Cheetah,potion,675,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
212257,Potion of Unwavering Focus,potion,675,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
212263,Tempered Potion,potion,675,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
212251,Draught of Shocking Revelations,potion,675,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
212248,Draught of Silent Footfalls,potion,675,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
212281,Flask of Alchemical Chaos,flask,755,0,2,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
212299,Flask of Saving Graces,flask,595,0,2,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
212269,Flask of Tempered Aggression,flask,595,0,2,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
212278,Flask of Tempered Mastery,flask,595,0,2,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
212272,Flask of Tempered Swiftness,flask,595,0,2,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
212275,Flask of Tempered Versatility,flask,595,0,2,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
212289,Vicious Flask of Classicial Spirits,flask,np.nan,0,1,np.nan,common,TRUE,FALSE,FALSE,FALSE,FALSE
212292,Vicious Flask of Honor,flask,np.nan,0,2,np.nan,common,TRUE,FALSE,FALSE,FALSE,FALSE
212298,Vicious Flask of the Wrecking Ball,flask,np.nan,0,1,np.nan,common,TRUE,FALSE,FALSE,FALSE,FALSE
212314,Phial of Bountiful Seasons,phial,840,0,4,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
212305,Phial of Concentrated Ingenuity,phial,760,0,4,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
212311,Phial of Enhanced Ambidexterity,phial,760,0,4,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
212308,Phial of Truesight,phial,760,0,4,0,common,TRUE,FALSE,FALSE,FALSE,FALSE
225677,Gleaming Chaos,crafting reagent,np.nan,np.nan,1,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE
212514,Blasphemite,crafting reagent,np.nan,np.nan,1,np.nan,epic,FALSE,FALSE,FALSE,FALSE,FALSE
211803,Mercurial Coalescence,crafting reagent,np.nan,np.nan,1,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE
211802,Ominous Coalescence,crafting reagent,np.nan,np.nan,1,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE
211804,Volatile Coalescence,crafting reagent,np.nan,np.nan,1,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE
223883,Mercurial Blessings,transmutation,650,np.nan,1,0,rare,FALSE,FALSE,FALSE,FALSE,FALSE
223886,Mercurial Herbs,transmutation,650,np.nan,1,0,rare,FALSE,FALSE,FALSE,FALSE,FALSE
223883,Mercurial Storms,transmutation,650,np.nan,1,0,rare,FALSE,FALSE,FALSE,FALSE,FALSE
223885,Ominous Call,transmutation,650,np.nan,1,0,rare,FALSE,FALSE,FALSE,FALSE,FALSE
223885,Ominous Gloom,transmutation,650,np.nan,1,0,rare,FALSE,FALSE,FALSE,FALSE,FALSE
223887,Ominous Herbs,transmutation,650,np.nan,1,0,rare,FALSE,FALSE,FALSE,FALSE,FALSE
223884,Volatile Stone,transmutation,650,np.nan,1,0,rare,FALSE,FALSE,FALSE,FALSE,FALSE
223884,Volatile Weaving,transmutation,650,np.nan,1,0,rare,FALSE,FALSE,FALSE,FALSE,FALSE
210816,Algari Alchemist Stone,gear (combat),305,np.nan,1,0,epic,TRUE,FALSE,FALSE,FALSE,TRUE
212719,Algari Flask Cauldron,cauldron,835,np.nan,1,0,epic,TRUE,FALSE,FALSE,FALSE,FALSE
212751,Algari Potion Cauldron,cauldron,835,np.nan,1,0,epic,TRUE,FALSE,FALSE,FALSE,FALSE
