itemID,itemName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot,,,,,,,,,,,,
212563,Harmonious Horticulture,crafting reagent,735,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213612,1,210796,12,210799,6,210802,6,210805,6,210808,6
228404,Petal Powder,finishing reagent,470,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210808,6,210796,2,,,,,,,,
228401,Bubbling Mycobloom Culture,finishing reagent,420,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213611,1,211806,1,210796,4,,,,,,
212245,Slumbering Soul Serum,potion,675,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,211806,5,210796,4,210805,5,210808,5,,,,
211878,Algari Healing Potion,potion,515,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,211806,5,210796,6,,,,,,,,
212239,Algari Mana Potion,potion,595,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,211806,5,210796,6,210805,3,,,,,,
212242,Cavedweller's Delight,potion,675,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,211806,5,210796,8,210802,4,210799,4,,,,
212260,Frontline Potion,potion,675,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213610,1,211806,5,210796,12,210805,4,210808,4,,
212254,Grotesque Vial,potion,675,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213611,1,211806,5,210796,12,210799,4,210808,4,,
212266,Potion of the Reborn Cheetah,potion,675,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213611,1,211806,5,210796,12,210808,4,210802,4,,
212257,Potion of Unwavering Focus,potion,675,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213610,1,211806,5,210796,12,210802,4,210808,4,,
212263,Tempered Potion,potion,675,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213611,1,211806,5,210796,12,210799,4,210808,4,,
212251,Draught of Shocking Revelations,potion,675,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213610,1,211806,5,210796,4,210802,6,210808,2,,
212248,Draught of Silent Footfalls,potion,675,0,5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213610,1,211806,5,210796,8,210799,3,210802,3,,
212281,Flask of Alchemical Chaos,flask,755,0,2,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213197,1,211806,2,210799,8,210802,8,210805,8,210808,8
212299,Flask of Saving Graces,flask,595,0,2,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213197,1,211806,2,210796,16,210805,8,,,,
212269,Flask of Tempered Aggression,flask,595,0,2,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213197,1,213612,2,211806,2,210799,12,210802,12,,
212278,Flask of Tempered Mastery,flask,595,0,2,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213197,1,213613,2,211806,2,210805,12,210808,12,,
212272,Flask of Tempered Swiftness,flask,595,0,2,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213197,1,213613,2,211806,2,210799,12,210805,12,,
212275,Flask of Tempered Versatility,flask,595,0,2,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213197,1,213612,2,211806,2,210802,12,210808,12,,
212289,Vicious Flask of Classicial Spirits,flask,np.nan,0,1,np.nan,common,TRUE,FALSE,FALSE,FALSE,FALSE,212292,1,210802,6,,,,,,,,
212292,Vicious Flask of Honor,flask,np.nan,0,2,np.nan,common,TRUE,FALSE,FALSE,FALSE,FALSE,211806,2,210796,16,210805,8,,,,,,
212298,Vicious Flask of the Wrecking Ball,flask,np.nan,0,1,np.nan,common,TRUE,FALSE,FALSE,FALSE,FALSE,212292,1,210808,6,,,,,,,,
212314,Phial of Bountiful Seasons,phial,840,0,4,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213611,1,211806,4,210799,3,210802,3,210805,3,210808,6
212305,Phial of Concentrated Ingenuity,phial,760,0,4,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,211806,4,210799,5,210802,5,210805,5,,
212311,Phial of Enhanced Ambidexterity,phial,760,0,4,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213610,1,211806,4,210796,5,210799,5,210802,5,,
212308,Phial of Truesight,phial,760,0,4,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213612,1,211806,4,210796,5,210799,5,210805,5,,
225677,Gleaming Chaos,crafting reagent,np.nan,np.nan,1,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,211805,40,,,,,,,,,,
212514,Blasphemite,crafting reagent,np.nan,np.nan,1,np.nan,epic,FALSE,FALSE,FALSE,FALSE,FALSE,211805,80,,,,,,,,,,
211803,Mercurial Coalescence,crafting reagent,np.nan,np.nan,1,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,211804,6,211802,6,,,,,,,,
211802,Ominous Coalescence,crafting reagent,np.nan,np.nan,1,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,211804,6,211803,6,,,,,,,,
211804,Volatile Coalescence,crafting reagent,np.nan,np.nan,1,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,211802,6,211803,6,,,,,,,,
223883,Mercurial Blessings,transmutation,650,np.nan,1,0,rare,FALSE,FALSE,FALSE,FALSE,FALSE,211803,9,,,,,,,,,,
223886,Mercurial Herbs,transmutation,650,np.nan,1,0,rare,FALSE,FALSE,FALSE,FALSE,FALSE,211803,6,211804,3,,,,,,,,
223883,Mercurial Storms,transmutation,650,np.nan,1,0,rare,FALSE,FALSE,FALSE,FALSE,FALSE,211803,9,,,,,,,,,,
223885,Ominous Call,transmutation,650,np.nan,1,0,rare,FALSE,FALSE,FALSE,FALSE,FALSE,211802,9,,,,,,,,,,
223885,Ominous Gloom,transmutation,650,np.nan,1,0,rare,FALSE,FALSE,FALSE,FALSE,FALSE,211802,9,,,,,,,,,,
223887,Ominous Herbs,transmutation,650,np.nan,1,0,rare,FALSE,FALSE,FALSE,FALSE,FALSE,211802,6,211804,3,,,,,,,,
223884,Volatile Stone,transmutation,650,np.nan,1,0,rare,FALSE,FALSE,FALSE,FALSE,FALSE,211804,9,,,,,,,,,,
223884,Volatile Weaving,transmutation,650,np.nan,1,0,rare,FALSE,FALSE,FALSE,FALSE,FALSE,211804,9,,,,,,,,,,
210816,Algari Alchemist Stone,gear (combat),305,np.nan,1,0,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,213759,1,212563,1,210796,4,,,,
212719,Algari Flask Cauldron,cauldron,835,np.nan,1,0,epic,TRUE,FALSE,FALSE,FALSE,FALSE,212754,1,210815,25,210814,40,221756,3,211806,20,212563,8
212751,Algari Potion Cauldron,cauldron,835,np.nan,1,0,epic,TRUE,FALSE,FALSE,FALSE,FALSE,212754,1,210815,25,210814,80,221763,3,211806,80,212563,4
