node,maxPoints,perPoint,0,5,10,15,20,25,30,35,40,45,50,55
alchemical mastery,50,1,3,0,0,0,0,0,0,0,0,0,10,0
mycobloom lore,40,1,0,0,0,3,0,5,0,0,0,0,0,0
luredrop lore,40,1,0,0,0,3,0,5,0,0,0,0,0,0
orbinid lore,40,1,0,0,0,3,0,5,0,0,0,0,0,0
arathor's spear lore,40,1,0,0,0,3,0,5,0,0,0,0,0,0
blessing blossom lore,40,1,0,0,0,3,0,5,0,0,0,0,0,0
fantastic flasks,30,2,0,0,0,0,0,0,0,0,0,0,0,0
bulk production (flasks),25,0,0,0,0,0,0,0,0,0,0,0,0,0
profession phials,25,2,0,0,0,15,0,0,0,0,0,0,0,0
potent potions,30,2,0,0,0,0,0,0,0,0,0,0,0,0
bulk production (potions),25,0,0,0,0,0,0,0,0,0,0,0,0,0
thaumaturgy,55,1,0,0,0,0,0,0,0,0,0,0,0,0
mercurial materials,25,1,0,0,0,5,0,0,0,0,0,0,0,0
volatile materials,25,1,0,0,0,5,0,0,0,0,0,0,0,0
ominous materials,25,1,0,0,0,5,0,0,0,0,0,0,0,0
gleaming transmutagen,20,1,0,0,5,0,0,0,0,0,0,0,0,0
transmutation,30,1,0,3,3,0,3,3,0,0,0,0,0,0
