itemName,itemID,crafterName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot,,,,,,,,,,
Sanctified Alloy,222423,Nystelil,crafting reagent,525,0,2,0,epic,TRUE,FALSE,FALSE,FALSE,FALSE,226202,5,221758,1,210939,1,222417,1,210936,2
Charged Alloy,222420,Nystelil,crafting reagent,525,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,226202,5,213610,1,222417,2,210933,5,,
Ironclaw Alloy,222426,Nystelil,crafting reagent,525,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,226202,5,213610,1,222417,2,210936,5,,
Core Alloy,222417,Nystelil,crafting reagent,525,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,226202,5,213610,1,210930,10,,,,
Everforged Breastplate,222430,None,gear (combat),490,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,222423,6,222426,12,,,,
Everforged Defender,222432,None,gear (combat),490,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,219901,1,222423,6,222426,8,,
Everforged Gauntlets,222437,None,gear (combat),490,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,222423,6,222426,12,,,,
Everforged Greatbelt,222431,None,gear (combat),490,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,222423,6,222426,10,,,,
Everforged Helm,222433,None,gear (combat),490,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,222423,6,222426,12,,,,
Everforged Legplates,222434,None,gear (combat),490,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,222423,5,222426,14,,,,
Everforged Pauldrons,222436,None,gear (combat),490,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,222423,6,222426,8,,,,
Everforged Sabatons,222429,None,gear (combat),490,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,222423,6,222426,12,,,,
Everforged Vambraces,222435,None,gear (combat),490,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,222423,4,222426,12,,,,
Dredger's Developed Legplates,222476,Nystelil,gear (combat),250,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,210930,6,222417,1,,,,,,
Dredger's Developed Pauldrons,222478,Nystelil,gear (combat),250,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,210930,5,222417,2,,,,,,
Dredger's Developed Gauntlets,222479,Nystelil,gear (combat),250,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,210930,4,222417,1,,,,,,
