itemName,itemID,crafterName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot,,,,,,,,,,
Exquisitely Eviscerated Muscle,225592,Trillithia,consumable,np.nan,0,2,np.nan,common,FALSE,FALSE,FALSE,FALSE,FALSE,222738,2,222700,10,222695,5,,,,
Roasted Mycobloom,222705,Trillithia,consumable,np.nan,0,2,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222737,5,,,,,,,,
Simple Stew,222703,Trillithia,consumable,np.nan,0,2,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222739,5,,,,,,,,
Skewered Fillet,222702,Trillithia,consumable,np.nan,0,2,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222741,5,,,,,,,,
Unseasoned Field Steak,222704,Trillithia,consumable,np.nan,0,2,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222738,5,,,,,,,,
Spongey Scramble,223968,None,consumable,np.nan,0,1,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,224762,1,225876,10,,,,,,
Coreway Kabob,222708,Trillithia,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222705,2,222704,4,222697,5,222700,5,,
Flash Fire Fillet,222709,Trillithia,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222702,4,222695,5,222700,5,222697,5,,
Hallowfall Chili,222707,Trillithia,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222704,2,222703,1,222695,2,222696,3,,
Pan Seared Mycobloom,222706,Trillithia,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222705,2,222696,5,,,,,,
Meat and Potatoes,222710,Trillithia,consumable,np.nan,0,3,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222714,1,222702,4,,,,,,
Rib Stickers,222711,Trillithia,consumable,np.nan,0,3,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222716,1,222708,1,,,,,,
Sweet and Sour Meatballs,222712,Trillithia,consumable,np.nan,0,3,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222704,5,222717,1,,,,,,
Tender Twilight Jerky,222713,Trillithia,consumable,np.nan,0,3,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222723,1,222697,1,,,,,,
Chippy Tea,222736,Trillithia,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222703,5,222695,5,222700,5,,,,
Deepfin Patty,222718,Trillithia,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222706,3,222741,1,222701,1,,,,
Fiery Fish Sticks,222715,Trillithia,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222709,5,222702,5,222701,1,222700,1,,
Fish and Chips,222721,Trillithia,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222709,3,222737,5,222701,1,,,,
Ginger Glazed Fillet,222716,Trillithia,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222709,3,222707,2,222701,1,222700,1,,
Marinated Tenderloins,222723,Trillithia,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222704,3,222707,3,222697,1,222700,1,,
Salt Baked Seafood,222722,Trillithia,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222741,20,222706,3,222697,1,,,,
Salty Dog,222717,Trillithia,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222706,2,220149,1,222697,1,222700,1,,
Sweet Spicy Soup,222719,Trillithia,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222703,5,222695,5,222700,5,,,,
