itemID,itemName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot,,,,,,,,,,
225592,Exquisitely Eviscerated Muscle,consumable,np.nan,0,2,np.nan,common,FALSE,FALSE,FALSE,FALSE,FALSE,222738,2,222700,10,222695,5,,,,
222705,Roasted Mycobloom,consumable,np.nan,0,2,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222737,5,,,,,,,,
222703,Simple Stew,consumable,np.nan,0,2,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222739,5,,,,,,,,
222702,Skewered Fillet,consumable,np.nan,0,2,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222741,5,,,,,,,,
222704,Unseasoned Field Steak,consumable,np.nan,0,2,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222738,5,,,,,,,,
223968,Spongey Scramble,consumable,np.nan,0,1,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,224762,1,225876,10,,,,,,
222708,Coreway Kabob,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222705,2,222704,4,222697,5,222700,5,,
222709,Flash Fire Fillet,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222702,4,222695,5,222700,5,222697,5,,
222707,Hallowfall Chili,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222704,2,222703,1,222695,2,222696,3,,
222706,Pan Seared Mycobloom,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222705,2,222696,5,,,,,,
222710,Meat and Potatoes,consumable,np.nan,0,3,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222714,1,222702,4,,,,,,
222711,Rib Stickers,consumable,np.nan,0,3,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222716,1,222708,1,,,,,,
222712,Sweet and Sour Meatballs,consumable,np.nan,0,3,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222704,5,222717,1,,,,,,
222713,Tender Twilight Jerky,consumable,np.nan,0,3,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222723,1,222697,1,,,,,,
222736,Chippy Tea,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222703,5,222695,5,222700,5,,,,
222718,Deepfin Patty,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222706,3,222741,1,222701,1,,,,
222715,Fiery Fish Sticks,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222709,5,222702,5,222701,1,222700,1,,
222721,Fish and Chips,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222709,3,222737,5,222701,1,,,,
222716,Ginger Glazed Fillet,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222709,3,222707,2,222701,1,222700,1,,
222723,Marinated Tenderloins,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222704,3,222707,3,222697,1,222700,1,,
222722,Salt Baked Seafood,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222741,20,222706,3,222697,1,,,,
222717,Salty Dog,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222706,2,220149,1,222697,1,222700,1,,
222719,Sweet Spicy Soup,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222703,5,222695,5,222700,5,,,,
222714,Zesty Nibblers,consumable,np.nan,0,3,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,222706,2,222708,2,222699,1,222701,1,,
222727,Angler's Delight,consumable,np.nan,0,6,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222717,1,222716,1,222718,3,,,,
222725,Mycobloom Risotto,consumable,np.nan,0,12,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222706,6,222719,3,222739,3,222716,8,,
222724,Sizzling Honey Roast,consumable,np.nan,0,5,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222697,1,222714,2,222719,2,222723,1,,
222726,Stuffed Cave Peppers,consumable,np.nan,0,6,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222696,5,222715,2,222722,2,,,,
222728,Beledar's Bounty,consumable,np.nan,0,8,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222725,1,222726,1,,,,,,
222729,Empress' Farewell,consumable,np.nan,0,5,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222726,1,222724,1,,,,,,
222731,Outsider's Provisions,consumable,np.nan,0,6,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222727,1,222725,1,222700,10,,,,
222730,Jester's Board,consumable,np.nan,0,5,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222724,1,222727,1,222700,10,,,,
222735,Everything Stew,consumable,np.nan,0,2,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222713,1,222710,1,222712,1,222711,1,,
222732,Feast of the Divine Day,consumable,np.nan,0,4,np.nan,epic,FALSE,FALSE,FALSE,FALSE,FALSE,222724,1,222727,1,222711,3,222695,25,,
222733,Feast of the Midnigfht Masquerade,consumable,np.nan,0,4,np.nan,epic,FALSE,FALSE,FALSE,FALSE,FALSE,222725,1,222726,1,222713,3,222695,25,,
222720,The Sushi Special,consumable,np.nan,0,3,np.nan,epic,FALSE,FALSE,FALSE,FALSE,FALSE,222727,2,220146,1,220151,1,220153,1,222741,10
223971,Azj-Kahet Special,consumable,np.nan,0,1,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,224762,1,223977,1,,,,,,
222744,Cinder Nectar,consumable,np.nan,0,10,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,224762,3,225912,1,,,,,,
222745,Pep-In-Your-Step,consumable,np.nan,0,1,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,224762,5,,,,,,,,
222749,Melted Candlebar,other,np.nan,0,10,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,223968,3,225912,1,222701,5,,,,
222747,Rockslide Shake,other,np.nan,0,10,np.nan,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,224762,5,223968,3,225912,1,210930,10,,
222748,Sticky Sweet Treat,other,np.nan,0,10,np.nan,uncommon,FALSE,FALSE,FALSE,FALSE,FALSE,223968,3,225912,1,222701,5,222697,5,,
223966,Everything-On-A-Stick,consumable,np.nan,np.nan,1,np.nan,rare,FALSE,FALSE,FALSE,FALSE,FALSE,222708,1,223977,1,,,,,,
