node,points
supplementary shattering,30
resourceful residue,30
immaculate ingenuity,0
magnificent multicrafting,24
designated disenchanter,0
incommon utilitarian,-1
rare resourcing,-1
epic escalations,-1
everlasting enchantments,0
earthen enhancements,-1
arathor alterations,-1
nerubian novelties,-1
wondrous weapons,-1
terrific tools,-1
bolstered breastplates,1
fortified flames,-1
accentuated accessories,-1
cursed chants,-1
tertiary trivialities,-1
ephemerals enrichments and equipment,30
deceptive decorations,20
exquisite equipment,20
material maestro,20
professional production,20
combat crafts,20
finalized finishers,20
optimal oils,20
