itemID,itemName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot,,,,,,,,,,
224073,Enchanted Gilded Harbinger Crest,crafting reagent,np.nan,np.nan,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,220789,1,219946,100,219949,15,219952,2,,
224072,Enchanted Runed Harbinger Crest,crafting reagent,np.nan,np.nan,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,220790,1,219946,60,219949,10,219952,1,,
224069,Enchanted Weathered Harbinger Crest,crafting reagent,np.nan,np.nan,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,220788,1,219946,30,219949,5,,,,
224173,Concentration Concentrate,finishing reagent,480,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213610,1,219946,3,219949,1,,,,
224178,Mirror Powder,finishing reagent,480,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,219946,3,219949,1,,,,
224108,Oil of Beledar's Grace,consumable,480,0,5,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,213610,2,219946,10,219949,1,,
224111,Oil of Deep Toxins,consumable,480,0,5,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,221756,1,221763,1,219946,10,219949,1,,
224105,Algari Mana Oil,consumable,480,0,5,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213613,10,219946,5,,,,,,
224116,Runed Null Stone Rod,gear (profession),475,np.nan,1,0,epic,TRUE,FALSE,TRUE,FALSE,FALSE,221754,2,210939,1,210814,400,219946,100,219949,10
224115,Runed Ironclaw Rod,gear (profession),475,np.nan,1,0,rare,TRUE,FALSE,TRUE,FALSE,FALSE,210814,350,221754,1,219946,75,219949,5,,
224405,Scepter of Radiant Magics,gear (combat),430,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221758,2,219949,6,219952,2,222555,1
224404,Enchanted Spearwood Wand,gear (combat),300,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,219946,5,222555,1,,,,,,
224114,Runed Bsimuth Rod,gear (profession),200,np.nan,1,0,uncommon,TRUE,FALSE,TRUE,FALSE,FALSE,227208,1,219946,10,,,,,,
223650,Enchant Boots - Cavalry's March,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219946,30,219949,5,,,,
223656,Enchant Boots - Defender's March,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219946,30,219949,5,,,,
223653,Enchant Boots - Scout's March,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219946,30,219949,5,,,,
223713,Enchant Bracer - Chant of Amored Avoidance,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221756,1,219946,40,219949,5,,,,
223719,Enchant Bracer - Chant of Armored Leech,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221756,1,219946,40,219949,5,,,,
223725,Enchant Bracer - Chant of Armored Speed,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221756,1,219946,40,219949,5,,,,
223716,Enchant Bracer - Whisper of Armored Leech,item enhancement,250,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,10,,,,,,,,
223721,Enchant Bracer - Whisper of Armored Speed,item enhancement,250,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,10,,,,,,,,
223708,Enchant Bracer - Whisper of Armored Avoidance,item enhancement,250,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,10,,,,,,,,
223686,Enchant Chest - Council's Intellect,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213610,10,213613,5,219946,75,219949,10,219952,1
223692,Enchant Chest - Crystalline Radiance,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213610,20,219946,75,219949,10,219952,1,,
223689,Enchant Chest - Oathsworn's Strength,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213610,10,221754,1,219946,75,219949,10,219952,1
223683,Enchant Chest - Stormrider's Agility,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213610,10,218338,5,219946,75,219949,10,219952,1
223800,Enchant Cloak - Chant of Burrowing Rapdidity,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221756,1,219946,40,219949,5,,,,
223737,Enchant Cloak - Chant of Leeching Fangs,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221756,1,219946,40,219949,5,,,,
223731,Enchant Cloak - Chant of Winged Grace,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221756,1,219946,40,219949,5,,,,
223740,Enchant Cloak - Whisper of Silken Speed,item enhancement,250,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,10,,,,,,,,
223734,Enchant Cloak - Whisper of Silken Leech,item enhancement,250,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,10,,,,,,,,
223727,Enchant Cloak - Whisper of Silken Avoidance,item enhancement,250,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,10,,,,,,,,
223695,Enchant Tool - Algari Deftness,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221754,1,219946,25,219949,5,,,,
223698,Enchant Tool - Algari Finesse,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221754,1,219946,25,219949,5,,,,
223701,Enchant Tool - Algari Ingenuity,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221754,1,219946,25,219949,5,,,,
223704,Enchant Tool - Algari Perception,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221754,1,219946,25,219949,5,,,,
223707,Enchant Tool - Algari Resourcefulness,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221754,1,219946,25,219949,5,,,,
223662,Enchant Ring - Radiant Critical Strike,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219946,30,219949,5,,,,
223674,Enchant Ring - Radiant Haste,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219946,30,219949,5,,,,
223677,Enchant Ring - Radiant Mastery,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219946,30,219949,5,,,,
223680,Enchant Ring - Radiant Versatility,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219946,30,219949,5,,,,
223787,Enchant Ring - Cursed Critical Strike,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213611,10,219946,50,219949,10,219952,1,,
223790,Enchant Ring - Cursed Haste,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213611,10,219946,50,219949,10,219952,1,,
223793,Enchant Ring - Cursed Mastery,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213611,10,219946,50,219949,10,219952,1,,
223796,Enchant Ring - Cursed Versatility,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213611,10,219946,50,219949,10,219952,1,,
223671,Enchant Ring - Glimmering Versatility,item enhancement,250,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,5,,,,,,,,
223668,Enchant Ring - Glimmering Mastery,item enhancement,250,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,5,,,,,,,,
223659,Enchant Ring - Glimmering Critical Strike,item enhancement,250,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,5,,,,,,,,
223665,Enchant Ring - Glimmering Haste,item enhancement,250,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,5,,,,,,,,
223775,Enchant Weapon - Authority of Air,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219946,75,219949,10,219952,2,,
223778,Enchant Weapon - Authority of Fiery Resolve,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219946,75,219949,10,219952,2,,
223781,Enchant Weapon - Authority of Radiant Power,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219946,75,219949,10,219952,2,,
223772,Enchant Weapon - Authority of Storms,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221754,1,218338,5,219946,75,219949,10,219952,2
223784,Enchant Weapon - Authority of the Depths,item enhancement,390,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221756,1,213611,5,219946,75,219949,10,219952,2
223759,Enchant Weapon - Council's Guile,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221754,1,219946,50,219949,5,219952,1,,
223768,Enchant Weapon - Oathsworn's Tenacity,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221754,1,219946,50,219949,5,219952,1,,
223765,Enchant Weapon - Stonebound Artistry,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221754,1,219946,50,219949,5,219952,1,,
223762,Enchant Weapon - Stormrider's Fury,item enhancement,480,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221754,1,219946,50,219949,5,219952,1,,
224300,Gleeful Glamour - Blood Elf,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224301,Gleeful Glamour - Dark Iron Dwarf,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224302,Gleeful Glamour - Draenei,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224303,Gleeful Glamour -  Dwarf,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224304,Gleeful Glamour - Earthen,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224305,Gleeful Glamour - Gnome,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224306,Gleeful Glamour - Goblin,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224307,Gleeful Glamour - Highmountain Tauren,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224308,Gleeful Glamour - Human,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224309,Gleeful Glamour - Kul Tiran,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224310,Gleeful Glamour - Lightforged Draenei,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224311,Gleeful Glamour - Mag'har Orc,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224312,Gleeful Glamour - Mechagnome,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224313,Gleeful Glamour - Night Elf,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224314,Gleeful Glamour - Nightborne,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224315,Gleeful Glamour - Orc,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224316,Gleeful Glamour - Pandaren,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224317,Gleeful Glamour - Tauren,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224318,Gleeful Glamour - Troll,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224319,Gleeful Glamour - Undead,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224320,Gleeful Glamour - Void Elf,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224321,Gleeful Glamour - Vulpera,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224322,Gleeful Glamour - Worgen,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
224323,Gleeful Glamour - Zandalari Troll,other,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213613,1,213612,1,219946,5,,,,
223747,Illusory Adornment: Crystal,other,400,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213610,5,219946,3,,,,,,
223750,Illusory Adornment: Radiance,other,400,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219946,5,,,,,,,,
223753,Illusory Adornment: Runes,other,400,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213613,3,219946,3,,,,,,
223756,Illusory Adornment: Shadow,other,400,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213611,5,219946,3,,,,,,
