itemID,itemName,Trillithia
221865,Chaos Circuit,TRUE
221868,Entropy Enhancer,TRUE
221862,Safety Switch,TRUE
225987,Bottled Brilliance,TRUE
221859,Gyrating Gear,TRUE
221853,Handful of Bismuth Bolts,TRUE
221856,Whimsical Wiring,TRUE
221926,Blame Redirection Device,TRUE
221932,Complicated Fuse Box,TRUE
221923,Recalibrated Safety Switch,TRUE
221938,Concealed Chaos Module,TRUE
221941,Energy Redistribution Beacon,TRUE
221935,Pouch of Pocket Grenades,TRUE
221920,Adjustable Cogwheel,TRUE
221917,Impeccable Cogwheel,TRUE
221914,Overclocked Cogwheel,TRUE
221911,Serrated Cogwheel,TRUE
221805,Blasting Bracers,TRUE
221808,Clanking Cuffs,TRUE
221804,Dangerous Distraction Inhibitor,TRUE
221802,Overclocked Idea Generator,TRUE
221969,P.0.W. x2,TRUE
221801,Studious Brilliance Expeditor,TRUE
221803,Supercharged Thought Enhancer,TRUE
221806,Venting Vambraces,TRUE
221807,Whirring Wristwraps,TRUE
225646,4UT0-41M3R,TRUE
225642,Acolyte's Goggles,TRUE
225645,Dredger's Goggles,TRUE
225643,Spelunker's Goggles,TRUE
225644,Tracker's Goggles,TRUE
221789,Aqirite Brainwave Projector,TRUE
221791,Aqirite Fisherfiend,TRUE
221798,Aqirite Fueled Samophlange,TRUE
221796,Aqirite Miner's Headgear,TRUE
221793,Lapidary's Aqirite Clamps,TRUE
221800,Miner's Aqirite Hoard,TRUE
221787,Spring-Loaded Aqirite Fabric Cutters,TRUE
221788,Bismuth Brainwave Projector,TRUE
221790,Bismuth Fisherfiend,TRUE
221797,Bismuth Fueld Samophlange,TRUE
221795,Bismuth Miner's Headgear,TRUE
221792,Lapidary's Bismuth Clamps,TRUE
221799,Miner's Bismuth Hoard,TRUE
221786,Spring-Loaded Bismuth Fabric Cutters,TRUE
224586,Box o' Booms,TRUE
221880,Potion Bomb of Power,TRUE
221876,Potion Bomb of Recovery,TRUE
221872,Potion Bomb of Speed,TRUE
219387,Barrel of Fireworks,TRUE
221962,Defective Escape Pod,TRUE
221964,Filmless Camera,TRUE
221966,Wormhole Generator: Khaz Algar,TRUE
219403,Stonebound Lantern,TRUE
221967,Crowd Pummeler 2-30,TRUE
221953,Convincingly Realistic Jumper Cables,TRUE
221945,Irresistible Red Button,TRUE
221949,Pausing Pylon,TRUE
221957,Algari Repair Bot 11O,TRUE
221959,Portable Profession Possibility Projector,TRUE
221904,Tinker: Earthen Delivery Drill,TRUE
221908,Tinker: Heartseeking Health Injector,TRUE
217155,Algari Competitor's Cloth Bracers,TRUE
217151,Algari Competitor's Cloth Goggles,TRUE
217156,Algari Competitor's Leather Bracers,TRUE
217152,Algari Competitor's Leather Goggles,TRUE
217157,Algari Competitor's Mail Bracers,TRUE
217153,Algari Competitor's Mail Goggles,TRUE
217158,Algari Competitor's Plate Bracers,TRUE
217154,Algari Competitor's Plate Goggles,TRUE
225370,Algari Competitor's Rifle,TRUE
