itemID,itemName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot,,,,,,,,,,,,
221865,Chaos Circuit,crafting reagent,410,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,210939,1,210933,5,210936,3,,,,,,
221868,Entropy Enhancer,crafting reagent,410,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213611,1,210933,2,210930,4,210936,2,,,,
221862,Safety Switch,crafting reagent,410,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213610,1,210930,5,210933,3,,,,,,
225987,Bottled Brilliance,finishing reagent,410,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213613,2,213610,1,211806,1,,,,,,
221859,Gyrating Gear,crafting reagent,410,0,2-Jan,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,228956,1,210930,3,210933,1,,,,,,
221853,Handful of Bismuth Bolts,crafting reagent,410,0,2-Jan,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,210930,4,,,,,,,,,,
221856,Whimsical Wiring,crafting reagent,410,0,2-Jan,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,228414,1,210930,3,,,,,,,,
221926,Blame Redirection Device,crafting reagent,410,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,219150,15,221853,4,221859,3,221856,2,221868,1,,
221932,Complicated Fuse Box,crafting reagent,410,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,219150,15,221853,6,221859,2,221856,2,221865,1,221868,1
221923,Recalibrated Safety Switch,crafting reagent,410,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,219150,15,221853,8,221859,2,221856,2,221862,4,,
221938,Concealed Chaos Module,embellishment,410,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,15,221853,6,221859,3,221856,2,221865,2,,
221941,Energy Redistribution Beacon,embellishment,410,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,15,221853,4,221859,2,221856,4,221865,1,221868,1
221935,Pouch of Pocket Grenades,embellishment,410,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,15,221853,12,221859,4,221856,2,221862,1,221865,1
221920,Adjustable Cogwheel,crafting reagent,435,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,212508,1,221853,1,221859,1,221868,1,,,,
221917,Impeccable Cogwheel,crafting reagent,435,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,212511,1,221853,1,221859,1,221868,1,,,,
221914,Overclocked Cogwheel,crafting reagent,435,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,212505,1,221853,1,221859,1,221868,1,,,,
221911,Serrated Cogwheel,crafting reagent,435,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,212495,1,221853,1,221859,1,221868,1,,,,
221805,Blasting Bracers,gear (combat),435,np.nan,1,0,epic,TRUE,FALSE,TRUE,TRUE,TRUE,211296,1,219150,10,222798,6,221859,9,221856,4,221865,2
221808,Clanking Cuffs,gear (combat),435,np.nan,1,0,epic,TRUE,FALSE,TRUE,TRUE,TRUE,211296,1,219150,10,222420,6,221859,9,221856,4,221865,2
221804,Dangerous Distraction Inhibitor,gear (combat),435,np.nan,1,0,epic,TRUE,FALSE,TRUE,TRUE,TRUE,211296,1,219150,20,222420,8,221859,12,221868,2,213753,2
221802,Overclocked Idea Generator,gear (combat),435,np.nan,1,0,epic,TRUE,FALSE,TRUE,TRUE,TRUE,211296,1,219150,20,219883,4,221859,12,221868,2,213753,2
221969,P.0.W. x2,gear (combat),435,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,2,221853,64,221859,12,221856,18,221862,4,221865,2
221801,Studious Brilliance Expeditor,gear (combat),435,np.nan,1,0,epic,TRUE,FALSE,TRUE,TRUE,TRUE,211296,1,219150,20,222801,8,221859,12,221868,2,213753,2
221803,Supercharged Thought Enhancer,gear (combat),435,np.nan,1,0,epic,TRUE,FALSE,TRUE,TRUE,TRUE,211296,1,219150,20,219886,4,221859,12,221868,2,213753,2
221806,Venting Vambraces,gear (combat),435,np.nan,1,0,epic,TRUE,FALSE,TRUE,TRUE,TRUE,211296,1,219150,10,219892,3,221859,9,221856,4,221865,2
221807,Whirring Wristwraps,gear (combat),435,np.nan,1,0,epic,TRUE,FALSE,TRUE,TRUE,TRUE,211296,1,219150,10,219889,3,221859,9,221856,4,221865,2
225646,4UT0-41M3R,gear (combat),200,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,219150,10,221853,6,221859,1,221856,1,221862,1,,
225642,Acolyte's Goggles,gear (combat),150,np.nan,1,0,rare,TRUE,FALSE,TRUE,TRUE,TRUE,219150,5,221853,4,221859,1,221856,1,,,,
225645,Dredger's Goggles,gear (combat),150,np.nan,1,0,rare,TRUE,FALSE,TRUE,TRUE,TRUE,219150,5,221853,4,221859,1,221856,1,,,,
225643,Spelunker's Goggles,gear (combat),150,np.nan,1,0,rare,TRUE,FALSE,TRUE,TRUE,TRUE,219150,5,221853,4,221859,1,221856,1,,,,
225644,Tracker's Goggles,gear (combat),150,np.nan,1,0,rare,TRUE,FALSE,TRUE,TRUE,TRUE,219150,5,221853,4,221859,1,221856,1,,,,
221789,Aqirite Brainwave Projector,gear (profession),500,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,221853,32,221859,8,221856,8,221862,4,221868,1
221791,Aqirite Fisherfiend,gear (profession),500,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,221853,24,221859,6,221856,8,221868,3,221862,2
221798,Aqirite Fueled Samophlange,gear (profession),490,np.nan,1,0,rare,TRUE,FALSE,TRUE,FALSE,FALSE,210814,300,221853,64,221859,16,221856,8,221862,2,221868,4
221796,Aqirite Miner's Headgear,gear (profession),500,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,221853,28,221859,8,221856,8,221865,2,221868,2
221793,Lapidary's Aqirite Clamps,gear (profession),490,np.nan,1,0,rare,TRUE,FALSE,TRUE,FALSE,FALSE,210814,300,212495,1,221853,36,221859,16,221856,8,221865,2
221800,Miner's Aqirite Hoard,gear (profession),500,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,221853,24,221859,12,221856,8,221868,3,210933,60
221787,Spring-Loaded Aqirite Fabric Cutters,gear (profession),490,np.nan,1,0,rare,TRUE,FALSE,TRUE,FALSE,FALSE,210814,300,221853,48,221859,6,221856,8,221865,3,,
221788,Bismuth Brainwave Projector,gear (profession),250,np.nan,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,221853,8,221859,2,221856,4,,,,,,
221790,Bismuth Fisherfiend,gear (profession),250,np.nan,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,221853,4,221859,2,221856,4,,,,,,
221797,Bismuth Fueld Samophlange,gear (profession),200,np.nan,1,0,uncommon,TRUE,FALSE,TRUE,FALSE,FALSE,221853,8,221859,2,221856,2,,,,,,
221795,Bismuth Miner's Headgear,gear (profession),250,np.nan,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,221853,8,221859,2,221856,4,,,,,,
221792,Lapidary's Bismuth Clamps,gear (profession),200,np.nan,1,0,uncommon,TRUE,FALSE,TRUE,FALSE,FALSE,212505,1,221853,8,221859,2,221856,2,,,,
221799,Miner's Bismuth Hoard,gear (profession),250,np.nan,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,221853,8,221859,2,221856,4,210930,40,,,,
221786,Spring-Loaded Bismuth Fabric Cutters,gear (profession),200,np.nan,1,0,uncommon,TRUE,FALSE,TRUE,FALSE,FALSE,221853,8,221859,3,221856,2,,,,,,
224586,Box o' Booms,other,505,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,25,221853,12,221859,3,221856,6,221862,3,,
221880,Potion Bomb of Power,consumable,505,0,5-Mar,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,219150,10,221853,2,221859,1,221856,2,221862,1,212263,3
221876,Potion Bomb of Recovery,consumable,505,0,5-Mar,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,219150,10,221853,2,221859,1,221856,2,221862,1,212242,3
221872,Potion Bomb of Speed,consumable,505,0,5-Mar,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,219150,10,221853,2,221859,1,221856,2,221862,1,212266,3
219387,Barrel of Fireworks,toy,np.nan,np.nan,1,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,50,221853,50,221859,10,221856,24,221865,8,221868,3
221962,Defective Escape Pod,toy,np.nan,np.nan,1,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,50,221853,75,221859,16,221856,10,221862,6,221868,2
221964,Filmless Camera,toy,np.nan,np.nan,1,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,50,221853,100,221859,8,221856,6,221862,1,221868,1
221966,Wormhole Generator: Khaz Algar,toy,np.nan,np.nan,1,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,50,221853,125,221859,16,221856,8,221865,4,221868,4
219403,Stonebound Lantern,toy,np.nan,np.nan,1,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219150,50,221853,32,221859,12,221856,6,221868,2,,
221967,Crowd Pummeler 2-30,mount,np.nan,np.nan,1,np.nan,epic,FALSE,FALSE,FALSE,FALSE,FALSE,227769,1000,227770,200,227771,80,227772,50,227773,20,227774,1
221953,Convincingly Realistic Jumper Cables,other,430,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,219150,10,221853,2,221859,1,221856,2,221862,1,,
221945,Irresistible Red Button,other,np.nan,0,2-Jan,np.nan,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,219150,10,221853,12,221859,4,221856,3,221868,1,,
221949,Pausing Pylon,other,np.nan,0,2,np.nan,common,TRUE,FALSE,FALSE,FALSE,FALSE,219150,10,221853,8,221859,2,221856,2,,,,
