itemName,itemID,crafterName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot,,,,,,,,,,
Shadow Ink,222609,Mellasona,crafting reagent,505,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,226205,20,224802,5,224805,5,,,,
Apricate Ink,222615,Mellasona,crafting reagent,505,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,226205,20,222612,5,222618,10,,,,
Codified Greenwood,222555,Mellasona,crafting reagent,505,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,226205,20,222609,2,210808,5,,,,
Boundless Cipher,222558,Mellasona,crafting reagent,505,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,226205,20,222615,2,210808,5,,,,
Darkmoon Sigil: Ascension,226022,None,embellishment,515,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,222680,1,213611,8,222609,4,222558,4,,
Darkmoon Sigil: Radiance,226025,None,embellishment,515,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,219672,1,213611,8,222615,4,222558,4,,
Darkmoon Sigil: Symbiosis,226028,None,embellishment,515,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,222653,1,213611,8,222609,4,222558,4,,
Darkmoon Sigil: Vivacity,226031,None,embellishment,515,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,222671,1,213611,8,222615,4,222558,4,,
Vagabond's Bounding Baton,222568,Mellasona,gear (combat),525,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,2,213611,20,222558,10,222555,15,,
Vagabond's Careful Crutch,222567,Mellasona,gear (combat),525,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,2,213611,20,222558,10,222555,15,,
Vagabond's Torch,222566,Mellasona,gear (combat),525,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,213611,20,222558,6,222555,10,,
Inquisitor's Baton,222570,Mellasona,gear (combat),250,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,210808,4,222558,1,,,,,,
Inquisitor's Crutch,222569,Mellasona,gear (combat),250,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,210808,4,222558,1,,,,,,
Inquisitor's Torch,222565,Mellasona,gear (combat),250,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,210808,1,222558,1,,,,,,
Contract: Assembly of the Deeps,222600,Mellasona,consumable,555,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,226204,1,222609,25,,,,,,
Contract: Council of Dornogal,222597,Mellasona,consumable,555,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,226204,1,222615,25,,,,,,
Contract: Hallowfall Arathi,222603,Mellasona,consumable,555,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,226204,1,222615,25,,,,,,
Contract: The Severed Threads,222606,Mellasona,consumable,555,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,226204,1,222609,25,,,,,,
Algari Missive of the Peerless,222591,Mellasona,crafting reagent,565,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,226204,2,226205,5,213612,5,222615,1,222558,1
Algari Missive of the Quickblade,222594,Mellasona,crafting reagent,565,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,226204,2,226205,5,213612,5,222615,1,222558,1
Algari Missive of the Fireflash,222585,Mellasona,crafting reagent,565,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,226204,2,226205,5,213612,5,222615,1,222558,1
Algari Missive of the Harmonious,222588,Mellasona,crafting reagent,565,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,226204,2,226205,5,213612,5,222615,1,222558,1
Algari Missive of the Aurora,222579,Mellasona,crafting reagent,565,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,226204,2,226205,5,213612,5,222615,1,222558,1
Algari Missive of the Feverflare,222582,Mellasona,crafting reagent,565,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,226204,2,226205,5,213612,5,222615,1,222558,1
Algari Missive of Crafting Speed,222635,Mellasona,crafting reagent,565,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,226204,2,226205,5,213613,5,222609,1,222558,1
Algari Missive of Deftness,222644,Mellasona,crafting reagent,565,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,226204,2,226205,5,213613,5,222609,1,222558,1
Algari Missive of Finesse,222638,Mellasona,crafting reagent,565,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,226204,2,226205,5,213613,5,222609,1,222558,1
Algari Missive of Ingenuity,222626,Mellasona,crafting reagent,565,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,226204,2,226205,5,213613,5,222609,1,222558,1
Algari Missive of Multicraft,222632,Mellasona,crafting reagent,565,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,226204,2,226205,5,213613,5,222609,1,222558,1
Algari Missive of Perception,222641,Mellasona,crafting reagent,565,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,226204,2,226205,5,213613,5,222609,1,222558,1
Algari Missive of Resourcefulness,222629,Mellasona,crafting reagent,565,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,226204,2,226205,5,213613,5,222609,1,222558,1
Patient Alchemist's Mixing Rod,222576,Mellasona,gear (profession),580,np.nan,1,0,rare,TRUE,FALSE,TRUE,FALSE,FALSE,210814,300,222558,15,222555,20,,,,
Silver Tongue's Quill,222574,Mellasona,gear (profession),580,np.nan,1,0,rare,TRUE,FALSE,TRUE,FALSE,FALSE,210814,300,213612,20,222555,5,222558,5,,
Inscribed Rolling Pin,222578,Mellasona,gear (profession),590,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,222558,15,222555,20,,,,
Burnt Rolling Pin,222577,Mellasona,gear (profession),250,np.nan,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,222555,2,222558,1,,,,,,
Hasty Alchemist's Mixing Rod,222575,Mellasona,gear (profession),250,np.nan,1,0,uncommon,TRUE,FALSE,TRUE,FALSE,FALSE,222555,2,222558,1,,,,,,
Lightweight Scribe's Quill,222573,Mellasona,gear (profession),250,np.nan,1,0,uncommon,TRUE,FALSE,TRUE,FALSE,FALSE,210808,8,222558,1,,,,,,
Algari Treatise on Alchemy,222546,Mellasona,consumable,np.nan,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213612,2,222615,2,222558,1,,,,
Algari Treatise on Blacksmithing,222554,Mellasona,consumable,np.nan,0,1,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213611,2,222609,2,222558,1,,,,
Algari  Treatise on Enchanting,222550,Mellasona,consumable,np.nan,0,1,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213613,2,222609,2,222558,1,,,,
Algari Treatise on Engineering,222621,Mellasona,consumable,np.nan,0,1,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213611,2,222609,2,222558,1,,,,
Algari Treatise on Herbalism,222552,Mellasona,consumable,np.nan,0,1,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213612,2,222615,2,222558,1,,,,
Algari Treatise on Inscription,222548,Mellasona,consumable,np.nan,0,1,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213613,2,222615,2,222558,1,,,,
Algari Treatise on Jewelcrafting,222551,Mellasona,consumable,np.nan,0,1,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213610,2,222609,2,222558,1,,,,
