itemID,itemName,Mellasona,Lindinil
222609,Shadow Ink,TRUE,TRUE
222615,Apricate Ink,TRUE,TRUE
222555,Codified Greenwood,TRUE,TRUE
222558,Boundless Cipher,TRUE,TRUE
226022,Darkmoon Sigil: Ascension,TRUE,TRUE
226025,Darkmoon Sigil: Radiance,TRUE,TRUE
226028,Darkmoon Sigil: Symbiosis,TRUE,TRUE
226031,Darkmoon Sigil: Vivacity,TRUE,TRUE
222568,Vagabond's Bounding Baton,TRUE,FALSE
222567,Vagabond's Careful Crutch,TRUE,FALSE
222566,Vagabond's Torch,TRUE,TRUE
222570,Inquisitor's Baton,TRUE,TRUE
222569,Inquisitor's Crutch,TRUE,TRUE
222565,Inquisitor's Torch,TRUE,TRUE
222600,Contract: Assembly of the Deeps,TRUE,TRUE
222597,Contract: Council of Dornogal,TRUE,TRUE
222603,Contract: Hallowfall Arathi,TRUE,TRUE
222606,Contract: The Severed Threads,TRUE,TRUE
222591,Algari Missive of the Peerless,TRUE,TRUE
222594,Algari Missive of the Quickblade,TRUE,TRUE
222585,Algari Missive of the Fireflash,TRUE,TRUE
222588,Algari Missive of the Harmonious,TRUE,TRUE
222579,Algari Missive of the Aurora,TRUE,TRUE
222582,Algari Missive of the Feverflare,TRUE,TRUE
222635,Algari Missive of Crafting Speed,TRUE,TRUE
222644,Algari Missive of Deftness,TRUE,TRUE
222638,Algari Missive of Finesse,TRUE,TRUE
222626,Algari Missive of Ingenuity,TRUE,TRUE
222632,Algari Missive of Multicraft,TRUE,TRUE
222641,Algari Missive of Perception,TRUE,TRUE
222629,Algari Missive of Resourcefulness,TRUE,TRUE
222576,Patient Alchemist's Mixing Rod,TRUE,TRUE
222574,Silver Tongue's Quill,TRUE,FALSE
222578,Inscribed Rolling Pin,TRUE,FALSE
222577,Burnt Rolling Pin,TRUE,TRUE
222575,Hasty Alchemist's Mixing Rod,TRUE,TRUE
222573,Lightweight Scribe's Quill,TRUE,TRUE
222546,Algari Treatise on Alchemy,TRUE,TRUE
222554,Algari Treatise on Blacksmithing,TRUE,TRUE
222550,Algari  Treatise on Enchanting,TRUE,TRUE
222621,Algari Treatise on Engineering,TRUE,TRUE
222552,Algari Treatise on Herbalism,TRUE,TRUE
222548,Algari Treatise on Inscription,TRUE,TRUE
222551,Algari Treatise on Jewelcrafting,TRUE,TRUE
222549,Algari Treatise on Leatherworking,TRUE,TRUE
222553,Algari Treatise on Mining,TRUE,TRUE
222649,Algari Treatise on Skinning,TRUE,TRUE
222547,Algari Treatise on  Tailoring,TRUE,TRUE
226034,Vantus Rune: Nerub-ar Palace,TRUE,TRUE
219933,Algari Competitor's Emblem,TRUE,FALSE
219932,Algari Competitor's Insignia of Alacrity,TRUE,FALSE
225372,Algari Competitor's Lamp,FALSE,FALSE
219931,Algari Competitor's Medallion,TRUE,FALSE
225368,Algari Competitor's Pillar,TRUE,FALSE
225369,Algari Competitor's Staff,FALSE,FALSE
234246,Glyph of the Admiral's Pistol Shot,FALSE,FALSE
234245,Glyph of the Ashvane Pistol Shot,FALSE,FALSE
234247,Glyph of the Gilded Pistol Shot,FALSE,FALSE
234248,Glyph of the Twilight Pistol Shot,FALSE,FALSE
