itemName,itemID,crafterName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot,,,,,,,,,,,,
Magnificent Jeweler's Setting,213777,None,item enhancement,np.nan,0,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,210939,2,212514,1,213756,20,,,,,,
Inverted Prism,213759,Nystelil,crafting reagent,305,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212495,1,212505,1,212508,1,212511,1,210939,1,219949,1
Decorative Lens,213753,Nystelil,crafting reagent,305,0,2-3,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213399,10,212498,2,213219,4,,,,,,
Gilded Vial,211806,Nystelil,crafting reagent,305,0,3-5,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213399,6,212498,1,213219,3,,,,,,
Engraved Gemcutter,213750,Nystelil,crafting reagent,305,0,2-3,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213398,5,213399,1,210930,5,,,,,,
Marbled Stone,213756,Nystelil,crafting reagent,305,0,3-4,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213398,4,210930,3,,,,,,,,
Captured Starlight,213774,Nystelil,embellishment,305,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210939,1,212498,2,213759,1,,,,,,
Elemental Focusing Lens,213768,None,embellishment,305,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210939,1,213753,1,,,,,,,,
Prismatic Null Stone,213771,None,embellishment,305,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210939,1,212495,1,212505,1,212508,1,212511,1,213756,15
Ominous Energy Crystal,213765,Nystelil,finishing reagent,305,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213219,5,,,,,,,,,,
Sifted Cave Sand,213762,Nystelil,finishing reagent,305,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213756,15,,,,,,,,,,
Deadly Amber,213501,Nystelil,gem,315,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212498,1,213750,1,,,,,,,,
Masterful Amber,213507,Nystelil,gem,315,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212498,1,213750,1,,,,,,,,
Quick Amber,213504,Nystelil,gem,315,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212498,1,213750,1,,,,,,,,
Solid Amber,213515,None,gem,315,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212498,3,213219,6,213750,1,,,,,,
Versatile Amber,213510,Nystelil,gem,315,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212498,1,213750,1,,,,,,,,
Deadly Emerald,213477,Nystelil,gem,420,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212505,4,212495,2,213219,20,213750,1,,,,
Masterful Emerald,213480,Nystelil,gem,420,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212505,4,212511,2,213219,20,213750,1,,,,
Versatile Emerald,213483,Nystelil,gem,420,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212505,4,212508,2,213219,20,213750,1,,,,
Quick Emerald,213486,Nystelil,gem,370,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212505,6,213219,30,213750,1,,,,,,
Deadly Onyx,213489,Nystelil,gem,420,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212511,4,212495,2,213219,20,213750,1,,,,
Quick Onyx,213492,Nystelil,gem,420,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212511,4,212505,2,213219,20,213750,1,,,,
Versatile Onyx,213495,Nystelil,gem,420,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212511,4,212508,2,213219,20,213750,1,,,,
Masterful Onyx,213498,Nystelil,gem,370,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212511,6,213219,30,213750,1,,,,,,
Masterful Ruby,213456,Nystelil,gem,420,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212495,4,212511,2,213219,20,213750,1,,,,
