itemName,itemID,crafterName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot,,,,,,,,,,,,
Magnificent Jeweler's Setting,213777,None,item enhancement,np.nan,0,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,210939,2,212514,1,213756,20,,,,,,
Inverted Prism,213759,Zarastannil,crafting reagent,305,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,212495,1,212505,1,212508,1,212511,1,210939,1,219949,1
Decorative Lens,213753,Zarastannil,crafting reagent,305,0,3-Feb,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213399,10,212498,2,213219,4,,,,,,
Gilded Vial,211806,Zarastannil,crafting reagent,305,0,5-Mar,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213399,6,212498,1,213219,3,,,,,,
Marbled Stone,213756,Zarastannil,crafting reagent,305,0,4-Mar,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213398,4,210930,3,,,,,,,,
Engraved Gemcutter,213750,Zarastannil,crafting reagent,305,0,3-Feb,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,213398,5,213399,1,210930,5,,,,,,
Captured Starlight,213774,None,embellishment,305,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210939,1,212498,2,213759,1,,,,,,
Elemental Focusing Lens,213768,None,embellishment,305,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210939,1,213753,1,,,,,,,,
Prismatic Null Stone,213771,None,embellishment,305,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210939,1,212495,1,212505,1,212508,1,212511,1,213756,15
Ominous Energy Crystal,213765,None,finishing reagent,305,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213219,5,,,,,,,,,,
Sifted Cave Sand,213762,None,finishing reagent,305,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213756,15,,,,,,,,,,
