node,points
learned leatherworker,0
waste not,-1
commanding concentration,-1
industrious innovations,-1
luxurious leathers,0
shaped leather armor,-1
embroidered leather armor,-1
tunics,-1
hoods,-1
mantles,-1
armbands,-1
legwraps,-1
grasps,-1
waistbands,-1
kickers,-1
concrete chitin,30
large chitin,30
intricate chitin,30
breastplates,0
guises,20
epaulets,0
vambraces,20
cuisses,0
gauntlets,17
bindings,20
stompers,20
flawless fortes,0
arathi armorer,-1
nerubian nous,-1
beastly bulwarks,-1
epic ensembles,-1
spotless stitching,-1
