itemID,itemName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot,,,,,,,,,,
219880,Carapace-Backed Hide,crafting reagent,400,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,218337,5,224764,5,212670,1,212674,1,,
219898,Chitin Armor Banding,crafting reagent,400,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,218336,1,212674,1,212667,30,,,,
219883,Crystalfused Hide,crafting reagent,400,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213610,5,219880,1,,,,,,
219892,Leyfused Hide,crafting reagent,400,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213613,5,219880,1,,,,,,
219889,Sporecoated Hide,crafting reagent,400,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213612,5,219880,1,,,,,,
219901,Storm-Touched Weapon Wrap,crafting reagent,400,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,218338,2,212670,1,212664,30,,,,
219886,Writhing Hide,crafting reagent,400,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,213611,5,219880,1,,,,,,
219906,Defender's Armor Kit,item enhancement,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219883,2,212667,60,,,,
219909,Stormbound Armor Kit,item enhancement,400,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,221757,1,219883,2,212664,60,,,,
219905,Thunderous Drums,consumable,np.nan,0,1,np.nan,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213612,5,212664,75,212667,75,,,,
219912,Dual Layered Armor Kit,item enhancement,300,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,212670,1,212664,50,,,,,,
219334,Rune-Branded Armbands,gear (combat),380,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,2,219886,3,212664,150,219898,1
219333,Rune-Branded Grasps,gear (combat),380,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,1,219892,3,212664,150,219898,1
219329,Rune-Branded Hood,gear (combat),380,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,1,219886,3,212664,150,219898,1
219327,Rune-Branded Kickers,gear (combat),380,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,1,219889,3,212664,150,219898,1
219332,Rune-Branded Legwraps,gear (combat),380,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,2,219883,3,212664,150,219898,1
219330,Rune-Branded Mantle,gear (combat),380,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,2,219892,3,212664,150,219898,1
219328,Rune-Branded Tunic,gear (combat),380,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,2,219892,3,212664,150,219898,1
219331,Rune-Branded Waistband,gear (combat),380,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,1,219883,3,212664,150,219898,1
219476,Spelunker's Practiced Hat,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212664,30,212670,1,,,,,,
219479,Spelunker's Practiced Britches,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212664,30,212670,1,,,,,,
219477,Spelunker's Practiced Shoulders,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212664,30,212670,1,,,,,,
219478,Spelunker's Practiced Mitts,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212664,25,212667,20,,,,,,
219480,Spelunker's Practiced Sash,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212664,30,212667,10,,,,,,
219472,Spelunker's Leather Jerkin,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212664,30,212667,15,,,,,,
219470,Spelunker's Leather Footpads,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212664,20,212667,10,,,,,,
219471,Spelunker's Leather Bands,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212664,15,212667,5,,,,,,
219339,Glyph-Etched Binding,gear (combat),380,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,1,219883,3,212667,150,219898,1
219336,Glyph-Etched Breastplate,gear (combat),380,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,2,219892,3,212667,150,219898,1
219340,Glyph-Etched Cuisses,gear (combat),380,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,2,219883,3,212667,150,219898,1
219338,Glyph-Etched Epaulets,gear (combat),380,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,1,219892,3,212667,150,219898,1
219341,Glyph-Etched Gauntlets,gear (combat),380,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,1,219892,3,212667,150,219898,1
219337,Glyph-Etched Guise,gear (combat),380,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,2,219886,3,212667,150,219898,1
219335,Glyph-Etched Stompers,gear (combat),380,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,1,219889,3,212667,150,219898,1
219342,Glyph-Etched Vambraces,gear (combat),380,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,221757,2,219886,3,212667,150,219898,1
219481,Tracker's Toughened Headgear,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212667,30,212674,1,,,,,,
219484,Tracker's Toughened Links,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212667,30,212674,1,,,,,,
219482,Tracker's Toughened Shoulderguards,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212667,30,212674,1,,,,,,
219483,Tracker's Toughened Handguards,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212667,25,212664,20,,,,,,
219485,Tracker's Toughened Girdle,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212667,30,212664,10,,,,,,
219475,Tracker's Chitin Hauberk,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212667,30,212664,15,,,,,,
219473,Tracker's Chitin Galoshes,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212667,20,212664,10,,,,,,
219474,Tracker's Chitin Cuffs,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,212667,15,212664,5,,,,,,
219492,Sanctified Torchbearer's Grips,gear (combat),565,np.nan,1,0,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,221758,3,219883,3,212667,150,219898,1
219489,Waders of the Unifying Flame,gear (combat),565,np.nan,1,0,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,221758,2,219883,3,212664,150,219898,1
219495,Blessed Weapon Grip,embelishment,400,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221758,1,219901,,,,,,,
219502,Adrenal Surge Clasp,gear (combat),565,np.nan,1,0,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,221756,2,218336,10,219886,2,219898,1
219501,Vambraces of Deepening Darkness,gear (combat),565,np.nan,1,0,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,221756,2,218336,10,219886,2,219898,1
219504,Writhing Armor Banding,embelishment,400,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,221756,1,219898,1,,,,,,
