node,maxPoints,perPoint,0,5,10,15,20,25,30
learned leatherworker,30,0,0,0,0,0,0,0,0
waste not,30,0,0,0,0,0,0,0,0
commanding concentration,30,0,0,0,0,0,0,0,0
industrious innovations,30,1,0,0,0,0,0,0,0
luxurious leathers,30,1,0,0,0,0,0,0,0
shaped leather armor,30,1,0,0,0,0,0,0,0
embroidered leather armor,30,1,0,0,0,0,0,0,0
tunics,20,1,0,5,5,10,20,0,0
hoods,20,1,0,5,5,10,20,0,0
mantles,20,1,0,5,5,10,20,0,0
armbands,20,1,0,5,5,10,20,0,0
legwraps,20,1,0,5,5,10,20,0,0
grasps,20,1,0,5,5,10,20,0,0
waistbands,20,1,0,5,5,10,20,0,0
kickers,20,1,0,5,5,10,20,0,0
concrete chitin,30,1,0,0,0,0,0,0,0
large chitin,30,1,0,0,0,0,0,0,0
intricate chitin,30,1,0,0,0,0,0,0,0
breastplates,20,1,0,5,5,10,20,0,0
guises,20,1,0,5,5,10,20,0,0
epaulets,20,1,0,5,5,10,20,0,0
vambraces,20,1,0,5,5,10,20,0,0
cuisses,20,1,0,5,5,10,20,0,0
gauntlets,20,1,0,5,5,10,20,0,0
bindings,20,1,0,5,5,10,20,0,0
stompers,20,1,0,5,5,10,20,0,0
flawless fortes,30,1,0,0,0,0,0,0,0
arathi armorer,30,1,0,0,10,0,10,0,20
nerubian nous,30,1,0,0,10,0,10,0,20
beastly bulwarks,30,1,0,0,10,0,10,0,20
epic ensembles,30,1,5,0,10,0,10,0,20
spotless stitching,30,1,0,0,10,0,10,0,20
