itemName,itemID,crafterName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot,,,,,,,,,,,,
Exquisite Weavercloth Bolt,224832,Linidel,crafting reagent,450,1.7,1,103,rare,TRUE,FALSE,FALSE,FALSE,FALSE,224764,2,222804,2,219946,1,,,,,,
Dawnweave Bolt,222801,None,crafting reagent,630,0,2,1,epic,TRUE,FALSE,FALSE,FALSE,FALSE,224832,2,222792,8,,,,,,,,
Duskweave Bolt,222798,Linidel,crafting reagent,630,1.7,2,103,epic,TRUE,FALSE,FALSE,FALSE,FALSE,224832,2,222789,8,,,,,,,,
Weavercloth Bandage,224440,Linidel,consumable,355,1.7,1,103,common,TRUE,FALSE,FALSE,FALSE,FALSE,222804,1,,,,,,,,,,
Weavercloth Bolt,222804,Linidel,crafting reagent,450,1.7,1,103,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,224764,6,222795,10,,,,,,,,
Grips of the Woven Dawn,222807,None,gear (combat),615,np.nan,1,1,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,228930,5,222801,8,219949,6,222792,15,,
Treads of the Woven Dawn,222808,None,gear (combat),615,np.nan,1,1,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,228930,5,222801,10,219949,6,222792,10,,
Warm Sunrise Bracers,222811,None,gear (combat),615,np.nan,1,1,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,228930,5,222801,6,219949,4,222792,20,,
Cool Sunsert Bracers,222812,None,gear (combat),615,np.nan,1,1,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,228930,5,222798,6,219949,4,222789,20,,
Gloves of the Woven Dusk,222809,None,gear (combat),615,np.nan,1,1,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,228930,5,222798,8,219949,6,222789,15,,
Slippers of the Woven Dusk,222810,None,gear (combat),615,np.nan,1,1,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,228930,5,222798,10,219949,6,222789,10,,
Consecrated Cloak,222817,Linidel,gear (combat),455,np.nan,1,213,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,228930,5,224832,10,219949,2,,,,
Consecrated Cord,222816,Linidel,gear (combat),455,np.nan,1,268,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,228930,5,224832,15,219949,3,,,,
Consecrated Cuffs,222815,Linidel,gear (combat),455,np.nan,1,213,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,228930,5,224832,10,219949,2,,,,
Consecrated Gloves,222822,Linidel,gear (combat),455,np.nan,1,216,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,228930,5,224832,15,219949,3,,,,
Consecrated Hood,222818,Linidel,gear (combat),455,np.nan,1,215,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,228930,5,224832,20,219949,4,,,,
Consecrated Leggings,222820,Linidel,gear (combat),455,np.nan,1,213,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,228930,5,224832,20,219949,4,,,,
Consecrated Mantle,222821,Linidel,gear (combat),455,np.nan,1,216,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,228930,5,224832,15,219949,3,,,,
Consecrated Robe,222819,Linidel,gear (combat),455,np.nan,1,213,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,228930,5,224832,20,219949,4,,,,
Consecrated Slippers,222814,Linidel,gear (combat),455,np.nan,1,213,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,228930,5,224832,15,219949,3,,,,
Pioneer's Perfected Gloves,222840,Linidel,gear (combat),200,np.nan,1,216,rare,TRUE,TRUE,TRUE,FALSE,TRUE,224764,3,213611,1,222804,2,,,,,,
Pioneer's Perfected Mantle,222839,Linidel,gear (combat),200,np.nan,1,216,rare,TRUE,TRUE,TRUE,FALSE,TRUE,224764,3,213611,1,222804,2,,,,,,
Pioneer's Perfected Hood,222836,Linidel,gear (combat),200,np.nan,1,215,rare,TRUE,TRUE,TRUE,FALSE,TRUE,224764,4,213611,2,222804,3,,,,,,
Pioneer's Perfected Leggings,222838,Linidel,gear (combat),200,np.nan,1,213,rare,TRUE,TRUE,TRUE,FALSE,TRUE,224764,4,213611,2,222804,3,,,,,,
Pioneer's Perfected Cloak,222835,Linidel,gear (combat),150,np.nan,1,213,rare,TRUE,TRUE,TRUE,FALSE,TRUE,224764,2,213611,2,222804,2,,,,,,
Pioneer's Perfected Cord,222834,Linidel,gear (combat),200,np.nan,1,268,rare,TRUE,TRUE,TRUE,FALSE,TRUE,224764,3,213611,1,222804,2,,,,,,
Pioneer's Cloth Robe,222837,Linidel,gear (combat),150,np.nan,1,213,rare,TRUE,TRUE,TRUE,FALSE,TRUE,224764,3,222804,3,,,,,,,,
Pioneer's Cloth Slippers,222832,Linidel,gear (combat),150,np.nan,1,213,rare,TRUE,TRUE,TRUE,FALSE,TRUE,224764,3,222804,2,,,,,,,,
Pioneer's Cloth Cuffs,222833,Linidel,gear (combat),150,np.nan,1,213,rare,TRUE,TRUE,TRUE,FALSE,TRUE,224764,2,222804,2,,,,,,,,
Dawnthread Lining,222868,None,embellishment,630,0,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,228930,1,222801,2,222792,6,,,,,,
Duskthread Lining,222871,None,embellishment,630,0,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,228930,1,222798,2,222789,6,,,,,,
Preserving Embroidery Thread,222885,None,finising reagent,390,0,1,1,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213611,1,224764,2,222804,1,,,,,,
Weavercloth Embroidery Thread,222882,Linidel,finising reagent,390,1.7,1,103,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213611,1,224764,2,222804,1,,,,,,
Bright Polishing Cloth,222879,Linidel,finising reagent,390,1.7,1,103,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213613,2,222804,1,,,,,,,,
Gritty Polishing Cloth,222876,Linidel,finising reagent,390,1.7,1,103,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213613,2,222804,1,,,,,,,,
Artisan Tailor's Coat,222852,Linidel,gear (profession),505,np.nan,1,213,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,228930,1,213613,5,224832,12,219949,3,,
Algari Weaverline,225729,Linidel,item enhancement,np.nan,1.7,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,210814,100,224764,50,222795,500,,,,,,
Artisan Alchemist's Robe,222850,None,gear (profession),505,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,228930,1,213613,5,224832,12,219949,3,,
Artisan Chef's Hat,222851,None,gear (profession),505,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,228930,1,213613,5,224832,12,219949,3,,
Artisan Enchanter's Hat,222849,None,gear (profession),505,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,228930,1,213613,5,224832,12,219949,3,,
Artisan Fishing Cap,222848,None,gear (profession),505,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,228930,1,213613,5,224832,12,219949,3,,
Artisan Gardening Hat,222847,None,gear (profession),505,np.nan,1,1,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,228930,1,213613,5,224832,12,219949,3,,
Weavercloth Alchemist's Robe,222845,Linidel,gear (profession),250,np.nan,1,213,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213611,1,224832,1,219946,2,,,,,,
Weavercloth Chef's Hat,222846,Linidel,gear (profession),250,np.nan,1,215,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213611,1,224832,1,219946,2,,,,,,
Weavercloth Enchanter's Hat,222843,Linidel,gear (profession),250,np.nan,1,215,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213611,1,224832,1,219946,2,,,,,,
Weavercloth Fishing Cap,222842,Linidel,gear (profession),250,np.nan,1,215,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213611,1,224832,1,219946,2,,,,,,
Weavercloth Gardening Hat,222841,Linidel,gear (profession),250,np.nan,1,215,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213611,1,224832,1,219946,2,,,,,,
Weavercloth Tailor's Coat,222844,Linidel,gear (profession),250,np.nan,1,213,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213611,1,224832,1,219946,2,,,,,,
Daybreak Spellthread,222894,None,item enhancement,605,0,1,1,epic,TRUE,FALSE,FALSE,FALSE,FALSE,228930,5,222801,8,219949,5,222792,12,,,,
Sunset Spellthread,222891,None,item enhancement,605,0,1,1,epic,TRUE,FALSE,FALSE,FALSE,FALSE,228930,5,222798,8,219949,5,222789,12,,,,
Weavercloth Spellthread,222888,Linidel,item enhancement,400,1.7,1,103,rare,TRUE,FALSE,FALSE,FALSE,FALSE,228930,3,224832,8,,,,,,,,
Concoctor's Clutch,222859,None,bag,np.nan,np.nan,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,210814,150,228930,5,213197,5,224832,20,212563,8,222795,10
Darkmoon Duffle,222864,None,bag,np.nan,np.nan,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,210814,150,228930,4,224832,20,222615,15,222609,15,,
Exavator's Haversack,222866,None,bag,np.nan,np.nan,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,210814,150,228930,4,210939,10,224832,20,,,,
Gardener's Seed Satchel,222865,None,bag,np.nan,np.nan,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,210814,150,228930,4,213197,5,224832,20,,,,
Hideseeker's Tote,225936,None,bag,np.nan,np.nan,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,210814,150,228930,4,224832,20,212674,2,212670,2,,
Hideshaper's Workbag,222861,None,bag,np.nan,np.nan,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,210814,150,228930,4,224832,20,212674,2,212670,2,,
Ignition Satchel,222860,None,bag,np.nan,np.nan,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,210814,150,228930,4,224832,20,222423,4,,,,
Jeweler's Purse,222867,None,bag,np.nan,np.nan,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,210814,150,228930,4,224832,20,213759,4,,,,
"Magically ""Infinite"" Messenger",222862,None,bag,np.nan,np.nan,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,210814,150,228930,4,224832,20,219952,,,,,
Prodigy's Toolbox,222863,None,bag,np.nan,np.nan,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,210814,150,228930,4,224832,20,221862,6,221865,8,,
The Severed Satchel,224852,None,bag,np.nan,np.nan,1,np.nan,epic,TRUE,FALSE,FALSE,FALSE,FALSE,228930,2,222798,5,222801,5,,,,,,
Duskweave Bag,222856,None,bag,np.nan,np.nan,1,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,228930,2,222798,4,222789,30,,,,,,
Dawnweave Reagent Bag,222854,None,bag,np.nan,np.nan,1,np.nan,rare,TRUE,FALSE,FALSE,FALSE,FALSE,228930,2,222801,4,222792,30,,,,,,
