itemID,itemName,tag,difficulty,multicraft,quantity,skill,rarity,hasReagentQualities,hasEmbellishmentSlot,hasMissiveSlot,hasSafetyComponent,hasCrestSlot,,,,,,,,,,,,
224832,Exquisite Weavercloth Bolt,crafting reagent,450,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,224764,2,222804,2,219946,1,,,,,,
222801,Dawnweave Bolt,crafting reagent,630,0,2,0,epic,TRUE,FALSE,FALSE,FALSE,FALSE,224832,2,222792,8,,,,,,,,
222798,Duskweave Bolt,crafting reagent,630,0,2,0,epic,TRUE,FALSE,FALSE,FALSE,FALSE,224832,2,222789,8,,,,,,,,
224440,Weavercloth Bandage,consumable,355,0,1,0,common,TRUE,FALSE,FALSE,FALSE,FALSE,222804,1,,,,,,,,,,
222804,Weavercloth Bolt,crafting reagent,450,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,224764,6,222795,10,,,,,,,,
222807,Grips of the Woven Dawn,gear (combat),615,np.nan,1,0,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,228930,5,222801,8,219949,6,222792,15,,
222808,Treads of the Woven Dawn,gear (combat),615,np.nan,1,0,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,228930,5,222801,10,219949,6,222792,10,,
222811,Warm Sunrise Bracers,gear (combat),615,np.nan,1,0,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,228930,5,222801,6,219949,4,222792,20,,
222812,Cool Sunset Bracers,gear (combat),615,np.nan,1,0,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,228930,5,222798,6,219949,4,222789,20,,
222809,Gloves of the Woven Dusk,gear (combat),615,np.nan,1,0,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,228930,5,222798,8,219949,6,222789,15,,
222810,Slippers of the Woven Dusk,gear (combat),615,np.nan,1,0,epic,TRUE,FALSE,FALSE,FALSE,TRUE,211296,1,228930,5,222798,10,219949,6,222789,10,,
222817,Consecrated Cloak,gear (combat),455,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,228930,5,224832,10,219949,2,,,,
222816,Consecrated Cord,gear (combat),455,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,228930,5,224832,15,219949,3,,,,
222815,Consecrated Cuffs,gear (combat),455,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,228930,5,224832,10,219949,2,,,,
222822,Consecrated Gloves,gear (combat),455,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,228930,5,224832,15,219949,3,,,,
222818,Consecrated Hood,gear (combat),455,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,228930,5,224832,20,219949,4,,,,
222820,Consecrated Leggings,gear (combat),455,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,228930,5,224832,20,219949,4,,,,
222821,Consecrated Mantle,gear (combat),455,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,228930,5,224832,15,219949,3,,,,
222819,Consecrated Robe,gear (combat),455,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,228930,5,224832,20,219949,4,,,,
222814,Consecrated Slippers,gear (combat),455,np.nan,1,0,epic,TRUE,TRUE,TRUE,FALSE,TRUE,211296,1,228930,5,224832,15,219949,3,,,,
222840,Pioneer's Perfected Gloves,gear (combat),200,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,224764,3,213611,1,222804,2,,,,,,
222839,Pioneer's Perfected Mantle,gear (combat),200,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,224764,3,213611,1,222804,2,,,,,,
222836,Pioneer's Perfected Hood,gear (combat),200,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,224764,4,213611,2,222804,3,,,,,,
222838,Pioneer's Perfected Leggings,gear (combat),200,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,224764,4,213611,2,222804,3,,,,,,
222835,Pioneer's Perfected Cloak,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,224764,2,213611,2,222804,2,,,,,,
222834,Pioneer's Perfected Cord,gear (combat),200,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,224764,3,213611,1,222804,2,,,,,,
222837,Pioneer's Cloth Robe,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,224764,3,222804,3,,,,,,,,
222832,Pioneer's Cloth Slippers,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,224764,3,222804,2,,,,,,,,
222833,Pioneer's Cloth Cuffs,gear (combat),150,np.nan,1,0,rare,TRUE,TRUE,TRUE,FALSE,TRUE,224764,2,222804,2,,,,,,,,
222868,Dawnthread Lining,embellishment,630,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,228930,1,222801,2,222792,6,,,,,,
222871,Duskthread Lining,embellishment,630,0,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,228930,1,222798,2,222789,6,,,,,,
222885,Preserving Embroidery Thread,finising reagent,390,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213611,1,224764,2,222804,1,,,,,,
222882,Weavercloth Embroidery Thread,finising reagent,390,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213611,1,224764,2,222804,1,,,,,,
222879,Bright Polishing Cloth,finising reagent,390,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213613,2,222804,1,,,,,,,,
222876,Gritty Polishing Cloth,finising reagent,390,0,1,0,uncommon,TRUE,FALSE,FALSE,FALSE,FALSE,213613,2,222804,1,,,,,,,,
222852,Artisan Tailor's Coat,gear (profession),505,np.nan,1,0,rare,TRUE,FALSE,FALSE,FALSE,FALSE,210814,300,228930,1,213613,5,224832,12,219949,3,,
