itemID,itemName,,,,,,,,
224832,Exquisite Weavercloth Bolt,less is more,quality fabric,the perfect loop,extra threads,weaving and unraveling,,,
222801,Dawnweave Bolt,from dawn until dusk,less is more,quality fabric,weaving and unraveling,extra threads,dawnweave tailoring,the perfect loop,dawnweaving
222798,Duskweave Bolt,from dawn until dusk,quality fabric,less is more,duskweave tailoring,extra threads,weaving and unraveling,the perfect loop,duskweaving
224440,Weavercloth Bandage,less is more,quality fabric,the perfect loop,extra threads,,,,
222804,Weavercloth Bolt,less is more,quality fabric,the perfect loop,extra threads,weaving and unraveling,,,
222807,Grips of the Woven Dawn,weathering wear,threads of devotion,gloves,less is more,from dawn until dusk,extra threads,dawnweave tailoring,the perfect loop
222808,Treads of the Woven Dawn,weathering wear,threads of devotion,less is more,footwear,from dawn until dusk,extra threads,dawnweave tailoring,the perfect loop
222811,Warm Sunrise Bracers,making a statement,threads of devotion,armbands,less is more,from dawn until dusk,extra threads,dawnweave tailoring,the perfect loop
222812,Cool Sunsert Bracers,threads of devotion,making a statement,armbands,from dawn until dusk,less is more,duskweave tailoring,extra threads,the perfect loop
222809,Gloves of the Woven Dusk,threads of devotion,weathering wear,gloves,from dawn until dusk,less is more,duskweave tailoring,extra threads,the perfect loop
222810,Slippers of the Woven Dusk,threads of devotion,weathering wear,footwear,from dawn until dusk,less is more,duskweave tailoring,extra threads,the perfect loop
222817,Consecrated Cloak,weathering wear,threads of devotion,cloaks,less is more,the perfect loop,extra threads,,
222816,Consecrated Cord,making a statement,threads of devotion,belts,less is more,the perfect loop,extra threads,,
222815,Consecrated Cuffs,making a statement,threads of devotion,armbands,less is more,the perfect loop,extra threads,,
222822,Consecrated Gloves,threads of devotion,weathering wear,gloves,less is more,extra threads,the perfect loop,,
222818,Consecrated Hood,weathering wear,threads of devotion,hats,less is more,the perfect loop,extra threads,,
222820,Consecrated Leggings,weighted garments,threads of devotion,less is more,leggings,the perfect loop,extra threads,,
222821,Consecrated Mantle,making a statement,threads of devotion,mantles,less is more,the perfect loop,extra threads,,
222819,Consecrated Robe,threads of devotion,weighted garments,less is more,robes,the perfect loop,extra threads,,
222814,Consecrated Slippers,weathering wear,threads of devotion,less is more,footwear,the perfect loop,extra threads,,
222840,Pioneer's Perfected Gloves,threads of devotion,weathering wear,gloves,less is more,extra threads,the perfect loop,,
222839,Pioneer's Perfected Mantle,making a statement,threads of devotion,mantles,less is more,the perfect loop,extra threads,,
222836,Pioneer's Perfected Hood,weathering wear,threads of devotion,hats,less is more,the perfect loop,extra threads,,
222838,Pioneer's Perfected Leggings,weighted garments,threads of devotion,less is more,leggings,the perfect loop,extra threads,,
222835,Pioneer's Perfected Cloak,weathering wear,threads of devotion,cloaks,less is more,the perfect loop,extra threads,,
222834,Pioneer's Perfected Cord,making a statement,threads of devotion,belts,less is more,the perfect loop,extra threads,,
222837,Pioneer's Cloth Robe,threads of devotion,weighted garments,less is more,robes,the perfect loop,extra threads,,
222832,Pioneer's Cloth Slippers,weathering wear,threads of devotion,less is more,footwear,the perfect loop,extra threads,,
222833,Pioneer's Cloth Cuffs,making a statement,threads of devotion,armbands,less is more,the perfect loop,extra threads,,
222868,Dawnthread Lining,from dawn until dusk,less is more,quality fabric,weaving and unraveling,extra threads,dawnweave tailoring,the perfect loop,dawnweaving
222871,Duskthread Lining,from dawn until dusk,quality fabric,less is more,duskweave tailoring,extra threads,weaving and unraveling,the perfect loop,duskweaving
222885,Preserving Embroidery Thread,less is more,quality fabric,the perfect loop,extra threads,additional embroidery,,,
222882,Weavercloth Embroidery Thread,less is more,quality fabric,the perfect loop,extra threads,additional embroidery,,,
222879,Bright Polishing Cloth,less is more,quality fabric,the perfect loop,extra threads,additional embroidery,,,
