node,maxPoints,perPoint,0,5,10,15,20,25,30,35,40
everburning forge,40,3,0,0,0,0,0,0,0,0,0
imaginative foresight,20,0,0,0,0,0,0,0,0,0,0
discerning discipline,20,0,0,0,0,0,0,0,0,0,0
gracious forging,20,0,0,0,0,0,0,0,0,0,0
means of production,30,0,0,0,0,0,0,0,0,0,0
tools of the trade,30,0,0,0,0,0,0,0,0,0,0
stonework,30,0,0,0,0,0,0,0,0,0,0
fortuitous forges,30,0,0,0,0,0,0,0,0,0,0
trade tools,20,0,0,0,0,0,0,0,0,0,0
trade accessories,20,0,0,0,0,0,0,0,0,0,0
weapon stones,20,0,0,0,0,0,0,0,0,0,0
tool enhancement,20,0,0,0,0,0,0,0,0,0,0
frameworks,20,0,0,0,0,0,0,0,0,0,0
alloys,20,0,0,0,0,0,0,0,0,0,0
weaponsmithing,30,0,0,0,0,0,0,0,0,0,0
blades,25,0,0,0,0,0,0,0,0,0,0
hafted,25,0,0,0,0,0,0,0,0,0,0
short blades,25,0,0,0,0,0,0,0,0,0,0
long blades,25,0,0,0,0,0,0,0,0,0,0
maces,25,0,0,0,0,0,0,0,0,0,0
axes and polearms,25,0,0,0,0,0,0,0,0,0,0
armorsmithing,30,0,0,0,0,0,0,0,0,0,0
large plate armor,30,0,0,0,0,0,0,0,0,0,0
sculpted armor,30,0,0,0,0,0,0,0,0,0,0
fine armor,30,0,0,0,0,0,0,0,0,0,0
breastplates,25,0,0,0,0,0,0,0,0,0,0
greaves,25,0,0,0,0,0,0,0,0,0,0
shields,25,0,0,0,0,0,0,0,0,0,0
helms,25,0,0,0,0,0,0,0,0,0,0
pauldrons,25,0,0,0,0,0,0,0,0,0,0
sabatons,25,0,0,0,0,0,0,0,0,0,0
belts,25,0,0,0,0,0,0,0,0,0,0
vambraces,25,0,0,0,0,0,0,0,0,0,0
gauntlets,25,0,0,0,0,0,0,0,0,0,0
