node,points
supplementary shattering,0
resourceful residue,-1
immaculate ingenuity,-1
magnificent multicrafting,-1
designated disenchanter,0
incommon utilitarian,-1
rare resourcing,-1
epic escalations,-1
everlasting enchantments,0
earthen enhancements,-1
arathor alterations,-1
nerubian novelties,-1
wondrous weapons,-1
terrific tools,-1
bolstered breastplates,1
fortified flames,-1
accentuated accessories,-1
cursed chants,-1
tertiary trivialities,-1
ephemerals enrichments and equipment,30
deceptive decorations,19
exquisite equipment,20
material maestro,20
professional production,20
combat crafts,20
finalized finishers,5
optimal oils,20
