node,maxPoints,perPoint,0,5,10,15,20,25,30
supplementary shattering,30,3,0,0,0,0,0,0,0
resourceful residue,30,0,0,0,0,0,0,0,0
immaculate ingenuity,30,0,0,0,0,0,0,0,0
magnificent multicrafting,30,0,0,0,0,0,0,0,0
designated disenchanter,30,0,0,0,0,0,0,0,0
incommon utilitarian,30,0,0,0,0,0,0,0,0
rare resourcing,30,0,0,0,0,0,0,0,0
epic escalations,30,0,0,0,0,0,0,0,0
everlasting enchantments,30,0,0,0,0,0,0,0,15
earthen enhancements,20,0,0,15,0,0,0,0,0
arathor alterations,20,0,0,15,0,0,0,0,0
nerubian novelties,20,0,0,15,0,0,0,0,0
wondrous weapons,20,0,0,0,0,0,0,0,0
terrific tools,20,0,0,0,0,0,0,0,0
bolstered breastplates,20,0,0,0,0,0,0,0,0
fortified flames,20,0,0,0,0,0,0,0,0
accentuated accessories,20,0,0,0,0,0,0,0,0
cursed chants,20,0,0,0,0,0,0,0,0
tertiary trivialities,20,0,0,0,0,0,0,0,0
ephemerals enrichments and equipment,30,0,0,0,0,0,0,0,15
deceptive decorations,20,0,0,15,0,0,0,0,0
exquisite equipment,20,0,0,15,0,0,0,0,0
material maestro,20,0,0,15,0,0,0,0,0
professional production,20,0,0,0,0,0,0,0,0
combat crafts,20,0,0,0,0,0,0,0,0
finalized finishers,20,0,0,0,0,0,0,0,0
optimal oils,20,0,0,0,0,0,0,0,0
