node,maxPoints,perPoint,0,5,10,15,20,25,30
supplementary shattering,30,0,0,0,0,0,0,0,0
resourceful residue,30,0,0,0,0,0,0,0,0
immaculate ingenuity,30,0,0,0,0,0,0,0,0
magnificent multicrafting,30,0,0,0,0,0,0,0,0
designated disenchanter,30,1,5,0,5,0,5,0,20
incommon utilitarian,30,1,5,5,5,5,0,10,20
rare resourcing,30,1,5,5,5,5,0,10,20
epic escalations,30,1,5,5,5,5,0,10,20
everlasting enchantments,30,1,5,0,5,0,10,0,0
earthen enhancements,20,1,5,0,5,0,10,0,0
arathor alterations,20,1,5,0,5,0,10,0,0
nerubian novelties,20,1,5,0,5,0,10,0,0
wondrous weapons,20,1,0,5,5,10,20,0,0
terrific tools,20,1,0,5,5,10,20,0,0
bolstered breastplates,20,1,0,5,5,10,20,0,0
fortified flames,20,1,0,5,5,10,20,0,0
accentuated accessories,20,1,0,5,5,10,20,0,0
cursed chants,20,1,0,5,5,10,20,0,0
tertiary trivialities,20,1,0,5,5,10,20,0,0
ephemerals enrichments and equipment,30,1,5,0,5,0,10,0,0
deceptive decorations,20,1,5,0,5,0,20,0,0
exquisite equipment,20,1,5,0,5,0,10,0,0
material maestro,20,1,5,0,5,0,10,0,0
professional production,20,1,0,5,5,10,20,0,0
combat crafts,20,1,0,5,5,10,20,0,0
finalized finishers,20,1,0,5,5,10,20,0,0
optimal oils,20,1,0,5,5,10,20,0,0
