node,maxPoints,perPoint,0,5,10,15,20,25,30,35,40
engineered equipment,40,0,0,15,0,0,15,0,0,15,0
calibrated chaos,20,3,0,0,0,0,0,0,0,0,0
guns,30,0,0,0,0,0,0,0,0,0,0
bracers,30,0,0,0,0,0,0,0,0,0,0
inventor's necessities,20,3,0,0,0,0,0,0,0,0,0
profession gear,30,0,0,0,0,0,0,0,0,0,0
goggles,30,0,0,0,0,0,0,0,0,0,0
devices,40,0,0,0,0,30,0,0,0,0,0
explosives,30,0,0,0,0,0,0,0,0,0,0
tinkers,30,0,0,0,0,0,0,0,0,0,0
inventing,40,0,0,0,0,0,0,0,0,0,0
ingenious,30,0,0,0,0,0,0,0,0,0,0
parts,40,0,0,0,0,0,0,0,0,0,0
overclocked cogwheel,10,0,0,0,0,0,0,0,0,0,0
serrated cogwheel,10,0,0,0,0,0,0,0,0,0,0
adjustable cogwheel,10,0,0,0,0,0,0,0,0,0,0
impeccable cogwheel,10,0,0,0,0,0,0,0,0,0,0
scrapper,30,3,0,15,0,30,0,15,0,0,0
