node,maxPoints,perPoint,0,5,10,15,20,25,30
pursuit of knowledge,30,0,0,0,0,0,0,0,0
eureka!,30,0,0,0,0,0,0,0,0
detail oriented,30,0,0,0,0,0,0,0,0
multitasking,30,0,0,0,0,0,0,0,0
pursuit of perfection,30,1,5,5,5,10,10,10,10
improved ciphers,30,1,5,5,10,10,10,10,0
improved milling,30,1,5,5,10,10,10,10,0
improved inks,30,1,5,5,10,10,10,10,0
careful carvings,30,1,0,5,5,5,5,5,0
combative curiosities,30,1,0,5,5,5,5,10,0
polished production,30,1,0,10,10,0,10,10,0
staves,30,1,5,5,5,5,10,10,20
torches,30,1,5,5,5,5,10,10,20
scribe's quill,30,1,5,5,5,5,10,10,20
alchemist's mixing rod,30,1,5,5,5,5,10,10,20
chef's rolling pin,30,1,5,5,5,5,10,10,20
archival additions,30,1,5,5,5,5,5,5,5
cryptic collection,30,1,0,5,5,5,5,5,5
runic research,30,1,0,5,5,5,5,5,5
darkmoon sigil: radiance,30,1,0,5,5,0,10,10,0
darkmoon sigil: symbiosis,30,1,0,5,5,0,10,10,0
darkmoon sigil: vivacity,30,1,0,5,5,0,10,10,0
darkmoon sigil: ascension,30,1,0,5,5,0,10,10,0
contracts,30,1,5,5,5,10,10,10,0
missives,30,1,5,5,5,10,10,10,0
vantus runes,30,1,5,5,5,10,10,10,0
