node,maxPoints,perPoint,0,5,10,15,20,25,30,35,40,45,50
gemcutting,50,1,0,0,0,0,0,0,0,0,0,0,0
gemcutting (blasphemite),50,0,0,0,0,5,0,0,0,10,0,0,15
emerald,30,1,0,3,0,0,0,0,0,0,0,0,0
onyx,30,1,0,3,0,0,0,0,0,0,0,0,0
ruby,30,1,0,3,0,0,0,0,0,0,0,0,0
sapphire,30,1,0,3,0,0,0,0,0,0,0,0,0
deadly emerald,20,1,0,5,0,5,0,0,0,0,0,0,0
masterful emerald,20,1,0,5,0,5,0,0,0,0,0,0,0
versatile emerald,20,1,0,5,0,5,0,0,0,0,0,0,0
deadly onyx,20,1,0,5,0,5,0,0,0,0,0,0,0
quick onyx,20,1,0,5,0,5,0,0,0,0,0,0,0
versatile onyx,20,1,0,5,0,5,0,0,0,0,0,0,0
quick ruby,20,1,0,5,0,5,0,0,0,0,0,0,0
masterful ruby,20,1,0,5,0,5,0,0,0,0,0,0,0
versatile ruby,20,1,0,5,0,5,0,0,0,0,0,0,0
deadly sapphire,20,1,0,5,0,5,0,0,0,0,0,0,0
quick sapphire,20,1,0,5,0,5,0,0,0,0,0,0,0
masterful sapphire,20,1,0,5,0,5,0,0,0,0,0,0,0
jewelrycrafting,40,1,0,0,0,0,0,0,0,0,0,0,0
amulets,30,2,0,0,0,0,0,0,0,0,0,0,0
rings,30,2,0,0,0,0,0,0,0,0,0,0,0
artisan's accessories,30,2,0,0,0,0,0,0,0,0,0,0,0
shaping,30,1,0,0,0,0,0,0,0,0,0,0,0
glasswork,15,1,0,0,0,0,0,0,0,0,0,0,0
gem finding,40,1,0,0,0,0,0,0,0,0,0,0,0
masonry,15,1,0,0,0,0,0,0,0,0,0,0,0
emerald (gem finding),20,0,0,0,0,0,0,0,0,0,0,0,0
onyx (gem finding),20,0,0,0,0,0,0,0,0,0,0,0,0
ruby (gem finding),20,0,0,0,0,0,0,0,0,0,0,0,0
sapphire (gem finding),20,0,0,0,0,0,0,0,0,0,0,0,0
