itemID,itemName,,,,,,,,
219880,Carapace-Backed Hide,flawless fortes,learned leatherworker,commanding concentration,industrious innovations,waste not,spotless stitching,,
219898,Chitin Armor Banding,flawless fortes,learned leatherworker,commanding concentration,industrious innovations,waste not,spotless stitching,,
219883,Crystalfused Hide,flawless fortes,learned leatherworker,commanding concentration,industrious innovations,waste not,spotless stitching,,
219892,Leyfused Hide,flawless fortes,learned leatherworker,commanding concentration,industrious innovations,waste not,spotless stitching,,
219889,Sporecoated Hide,flawless fortes,learned leatherworker,commanding concentration,industrious innovations,waste not,spotless stitching,,
219901,Storm-Touched Weapon Wrap,flawless fortes,learned leatherworker,commanding concentration,industrious innovations,waste not,spotless stitching,,
219886,Writhing Hide,flawless fortes,learned leatherworker,commanding concentration,nerubian nous,waste not,industrious innovations,spotless stitching,
219906,Defender's Armor Kit,flawless fortes,learned leatherworker,commanding concentration,waste not,industrious innovations,arathi armorer,spotless stitching,
219909,Stormbound Armor Kit,learned leatherworker,flawless fortes,spotless stitching,commanding concentration,beastly bulwarks,waste not,industrious innovations,
219905,Thunderous  Drums,learned leatherworker,flawless fortes,spotless stitching,commanding concentration,beastly bulwarks,waste not,industrious innovations,
219912,Dual Layered Armor Kit,flawless fortes,learned leatherworker,commanding concentration,industrious innovations,waste not,spotless stitching,,
219334,Rune-Branded Armbands,luxurious leathers,shaped leather armor,armbands,learned leatherworker,commanding concentration,waste not,,
219333,Rune-Branded Grasps,luxurious leathers,embroidered leather armor,grasps,learned leatherworker,commanding concentration,waste not,,
219329,Rune-Branded Hood,shaped leather armor,luxurious leathers,hoods,learned leatherworker,commanding concentration,waste not,,
219327,Rune-Branded Kickers,luxurious leathers,embroidered leather armor,kickers,learned leatherworker,commanding concentration,waste not,,
219332,Rune-Branded Legwraps,luxurious leathers,embroidered leather armor,legwraps,learned leatherworker,commanding concentration,waste not,,
219330,Rune-Branded Mantle,shaped leather armor,luxurious leathers,learned leatherworker,mantles,waste not,commanding concentration,,
219328,Rune-Branded Tunic,shaped leather armor,luxurious leathers,learned leatherworker,tunics,commanding concentration,waste not,,
219331,Rune-Branded Waistband,luxurious leathers,embroidered leather armor,waistbands,learned leatherworker,commanding concentration,waste not,,
219476,Spelunker's Practiced Hat,shaped leather armor,luxurious leathers,hoods,learned leatherworker,commanding concentration,waste not,,
219479,Spelunker's Practiced Britches,luxurious leathers,embroidered leather armor,legwraps,learned leatherworker,commanding concentration,waste not,,
219477,Spelunker's Practiced Shoulders,shaped leather armor,luxurious leathers,learned leatherworker,mantles,waste not,commanding concentration,,
219478,Spelunker's Practiced Mitts,luxurious leathers,embroidered leather armor,grasps,learned leatherworker,commanding concentration,waste not,,
219480,Spelunker's Practiced Sash,luxurious leathers,embroidered leather armor,waistbands,learned leatherworker,commanding concentration,waste not,,
219472,Spelunker's Leather Jerkin,shaped leather armor,luxurious leathers,learned leatherworker,tunics,commanding concentration,waste not,,
219470,Spelunker's Leather Footpads,luxurious leathers,embroidered leather armor,kickers,learned leatherworker,commanding concentration,waste not,,
219471,Spelunker's Leather Bands,luxurious leathers,shaped leather armor,armbands,learned leatherworker,commanding concentration,waste not,,
219339,Glyph-Etched Binding,concrete chitin,learned leatherworker,commanding concentration,waste not,bindings,intricate chitin,,
219336,Glyph-Etched Breastplate,learned leatherworker,concrete chitin,commanding concentration,waste not,large chitin,breastplates,,
219340,Glyph-Etched Cuisses,learned leatherworker,concrete chitin,waste not,commanding concentration,cuisses,intricate chitin,,
219338,Glyph-Etched Epaulets,learned leatherworker,concrete chitin,commanding concentration,epaulets,large chitin,waste not,,
219341,Glyph-Etched Gauntlets,learned leatherworker,concrete chitin,commanding concentration,waste not,gauntlets,intricate chitin,,
219337,Glyph-Etched Guise,learned leatherworker,concrete chitin,guises,waste not,large chitin,commanding concentration,,
219335,Glyph-Etched Stompers,concrete chitin,learned leatherworker,stompers,waste not,commanding concentration,intricate chitin,,
219342,Glyph-Etched Vambraces,learned leatherworker,concrete chitin,commanding concentration,vambraces,large chitin,waste not,,
219481,Tracker's Toughened Headgear,learned leatherworker,concrete chitin,guises,waste not,large chitin,commanding concentration,,
219484,Tracker's Toughened Links,learned leatherworker,concrete chitin,waste not,commanding concentration,cuisses,intricate chitin,,
219482,Tracker's Toughened Shoulderguards,learned leatherworker,concrete chitin,commanding concentration,epaulets,large chitin,waste not,,
219483,Tracker's Toughened Handguards,learned leatherworker,concrete chitin,commanding concentration,waste not,gauntlets,intricate chitin,,
219485,Tracker's Toughened Girdle,concrete chitin,learned leatherworker,commanding concentration,waste not,bindings,intricate chitin,,
219475,Tracker's Chitin Hauberk,learned leatherworker,concrete chitin,commanding concentration,waste not,large chitin,breastplates,,
219473,Tracker's Chitin Galoshes,concrete chitin,learned leatherworker,stompers,waste not,commanding concentration,intricate chitin,,
219474,Tracker's Chitin Cuffs,learned leatherworker,concrete chitin,commanding concentration,vambraces,large chitin,waste not,,
219492,Sanctified Torchbearer's Grips,flawless fortes,learned leatherworker,concrete chitin,commanding concentration,waste not,arathi armorer,intricate chitin,gauntlets
219489,Waders of the Unifying Flame,luxurious leathers,embroidered leather armor,kickers,flawless fortes,learned leatherworker,arathi armorer,commanding concentration,waste not
219495,Blessed Weapon Grip,flawless fortes,learned leatherworker,commanding concentration,waste not,industrious innovations,arathi armorer,spotless stitching,
219502,Adrenal Surge Clasp,luxurious leathers,embroidered leather armor,waistbands,flawless fortes,learned leatherworker,nerubian nous,commanding concentration,waste not
219501,Vambraces of Deepening Darkness,flawless fortes,learned leatherworker,concrete chitin,commanding concentration,waste not,large chitin,nerubian nous,vambraces
219504,Writhing Armor Banding,flawless fortes,learned leatherworker,commanding concentration,nerubian nous,waste not,industrious innovations,spotless stitching,
219509,Busy Bee's Buckle,flawless fortes,concrete chitin,learned leatherworker,commanding concentration,beastly bulwarks,waste not,bindings,intricate chitin
219508,Reinforced Setae Flyers,flawless fortes,concrete chitin,learned leatherworker,commanding concentration,beastly bulwarks,waste not,intricate chitin,stompers
219513,Roiling Thunderstrike Talons,luxurious leathers,embroidered leather armor,grasps,flawless fortes,learned leatherworker,beastly bulwarks,commanding concentration,waste not
219511,Rook Feather Wristwraps,luxurious leathers,shaped leather armor,armbands,flawless fortes,learned leatherworker,beastly bulwarks,commanding concentration,waste not
219507,Smoldering Pollen Hauberk,concrete chitin,learned leatherworker,flawless fortes,breastplates,large chitin,commanding concentration,beastly bulwarks,waste not
219512,Weathered Stormfront Vest,luxurious leathers,shaped leather armor,tunics,flawless fortes,learned leatherworker,beastly bulwarks,commanding concentration,waste not
217130,Algari Competitor's Leather Belt,luxurious leathers,embroidered leather armor,waistbands,learned leatherworker,commanding concentration,waste not,,
217126,Algari Competitor's Leather Boots,luxurious leathers,embroidered leather armor,kickers,learned leatherworker,commanding concentration,waste not,,
217127,Algari Competitor's Leather Chestpiece,shaped leather armor,luxurious leathers,learned leatherworker,tunics,commanding concentration,waste not,,
217132,Algari Competitor's Leather Gloves,luxurious leathers,embroidered leather armor,grasps,learned leatherworker,commanding concentration,waste not,,
217128,Algari Competitor's Leather Mask,shaped leather armor,luxurious leathers,hoods,learned leatherworker,commanding concentration,waste not,,
217129,Algari Competitor's Leather Shoulderpads,shaped leather armor,luxurious leathers,learned leatherworker,mantles,waste not,commanding concentration,,
217131,Algari Competitor's Leather Trousers,luxurious leathers,embroidered leather armor,legwraps,learned leatherworker,commanding concentration,waste not,,
217133,Algari Competitor's Leather Wristwraps,luxurious leathers,shaped leather armor,armbands,learned leatherworker,commanding concentration,waste not,,
217135,Algari Competitor's Chain Chainmail,learned leatherworker,concrete chitin,commanding concentration,waste not,large chitin,breastplates,,
217136,Algari Competitor's Chain Cowl,learned leatherworker,concrete chitin,guises,waste not,large chitin,commanding concentration,,
217141,Algari Competitor's Chain Cuffs,learned leatherworker,concrete chitin,commanding concentration,vambraces,large chitin,waste not,,
217137,Algari Competitor's Chain Epaulets,learned leatherworker,concrete chitin,commanding concentration,epaulets,large chitin,waste not,,
217140,Algari Competitor's Chain Gauntlets,learned leatherworker,concrete chitin,commanding concentration,waste not,gauntlets,intricate chitin,,
217138,Algari Competitor's Chain Girdle,concrete chitin,learned leatherworker,commanding concentration,waste not,bindings,intricate chitin,,
217139,Algari Competitor's Chain Leggings,learned leatherworker,concrete chitin,waste not,commanding concentration,cuisses,intricate chitin,,
217134,Algari Competitor's Chain Treads,concrete chitin,learned leatherworker,stompers,waste not,commanding concentration,intricate chitin,,
219871,Arathi Leatherworker's Smock,learned leatherworker,flawless fortes,commanding concentration,epic ensembles,waste not,,,
219870,Charged Scrapmaster's Gauntlets,learned leatherworker,flawless fortes,commanding concentration,epic ensembles,waste not,,,
219869,Deep Tracker's Cap,learned leatherworker,flawless fortes,commanding concentration,epic ensembles,waste not,,,
219868,Deep Tracker's Pack,learned leatherworker,flawless fortes,commanding concentration,epic ensembles,waste not,,,
219874,Earthen Forgemaster's Apron,learned leatherworker,flawless fortes,commanding concentration,epic ensembles,waste not,,,
219876,Earthen Jeweler's Cover,learned leatherworker,flawless fortes,commanding concentration,epic ensembles,waste not,,,
219872,Nerubian Alchemist's Hat,learned leatherworker,flawless fortes,commanding concentration,epic ensembles,waste not,,,
219867,Stonebound Herbalist's Pack,learned leatherworker,flawless fortes,commanding concentration,epic ensembles,waste not,,,
219866,Apothecary's Cap,learned leatherworker,flawless fortes,commanding concentration,epic ensembles,waste not,,,
219873,Steelsmith's Apron,learned leatherworker,flawless fortes,commanding concentration,epic ensembles,waste not,,,
219864,Scrapsmith's Gloves,learned leatherworker,flawless fortes,commanding concentration,epic ensembles,waste not,,,
219875,Gemcutter's Apron,learned leatherworker,flawless fortes,commanding concentration,epic ensembles,waste not,,,
219865,Hideshaper's Cover,learned leatherworker,flawless fortes,commanding concentration,epic ensembles,waste not,,,
219862,Hideseeker's Pack,learned leatherworker,flawless fortes,commanding concentration,epic ensembles,waste not,,,
219861,Gardener's Basket,learned leatherworker,flawless fortes,commanding concentration,epic ensembles,waste not,,,
219863,Hideseeker's Hat,learned leatherworker,flawless fortes,commanding concentration,epic ensembles,waste not,,,
