node,maxPoints,perPoint,0,5,10,15,20,25,30
learned leatherworker,30,0,0,0,0,0,0,0,45
waste not,30,3,0,30,0,30,0,30,0
commanding concentration,30,0,0,0,0,0,0,0,0
industrious innovations,30,0,0,0,0,0,0,0,0
luxurious leathers,30,0,0,0,0,15,0,0,15
shaped leather armor,30,0,0,0,0,15,0,0,0
embroidered leather armor,30,0,0,0,0,15,0,0,0
tunics,20,0,0,0,0,0,0,0,0
hoods,20,0,0,0,0,0,0,0,0
mantles,20,0,0,0,0,0,0,0,0
armbands,20,0,0,0,0,0,0,0,0
legwraps,20,0,0,0,0,0,0,0,0
grasps,20,0,0,0,0,0,0,0,0
waistbands,20,0,0,0,0,0,0,0,0
kickers,20,0,0,0,0,0,0,0,0
concrete chitin,30,0,0,0,0,15,0,0,15
large chitin,30,0,0,0,0,15,0,0,0
intricate chitin,30,0,0,0,0,15,0,0,0
breastplates,20,0,0,0,0,0,0,0,0
guises,20,0,0,0,0,0,0,0,0
epaulets,20,0,0,0,0,0,0,0,0
vambraces,20,0,0,0,0,0,0,0,0
cuisses,20,0,0,0,0,0,0,0,0
gauntlets,20,0,0,0,0,0,0,0,0
bindings,20,0,0,0,0,0,0,0,0
stompers,20,0,0,0,0,0,0,0,0
flawless fortes,30,0,0,15,0,0,0,15,0
arathi armorer,30,0,0,15,0,0,0,15,0
nerubian nous,30,0,0,15,0,0,0,15,0
beastly bulwarks,30,0,0,15,0,0,0,15,0
epic ensembles,30,0,0,15,0,0,0,15,0
spotless stitching,30,0,0,0,0,0,0,0,0
