node,maxPoints,perPoint,0,5,10,15,20,25,30
threads of devotion,30,0,0,0,15,0,0,0,30
weathering wear,30,0,0,15,15,15,15,15,0
gloves,20,0,0,0,0,0,0,0,0
footwear,20,0,0,0,0,0,0,0,0
hats,20,0,0,0,0,0,0,0,0
cloaks,20,0,0,0,0,0,0,0,0
weighted garments,30,0,0,15,15,15,15,15,0
robes,20,0,0,0,0,0,0,0,0
leggings,20,0,0,0,0,0,0,0,0
making a statement,30,0,0,15,15,15,15,15,0
mantles,20,0,0,0,0,0,0,0,0
armbands,20,0,0,0,0,0,0,0,0
belts,20,0,0,0,0,0,0,0,0
from dawn until dusk,30,0,0,15,0,15,0,15,0
dawnweave tailoring,30,0,0,30,0,0,15,15,0
duskweave tailoring,30,0,0,30,0,0,15,15,0
dawnweaving,20,0,0,0,0,0,0,0,0
duskweaving,20,0,0,0,0,0,0,0,0
quality fabric,30,0,15,0,15,0,30,0,0
additional embroidery,30,0,0,0,0,0,0,0,0
spellthread,30,0,0,0,15,15,15,15,15
weaving and unraveling,30,0,0,0,0,0,0,0,0
textile treasures,30,0,0,0,0,0,0,0,0
the perfect loop,30,3,0,30,0,30,0,30,0
extra threads,30,0,0,0,0,0,0,0,0
less is more,30,0,0,0,0,0,0,0,0
